UID,day,trans_amt,bal,channel,amt_src1,merchant,code1,code2,trans_type1,acc_id1,device_code1,device_code2,device_code3,device1,device2,mac1,ip1,amt_src2,acc_id2,acc_id3,geo_code,trans_type2,market_code,market_type,ip1_sub
10049,4,170291.0,400.0,2,4,2,0,0,2,1,2,2,0,1,2,2,3,2,1,1,1,2,0,0,3
10050,3,8483.0,2072.0,2,3,2,0,0,3,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1
10051,10,535424.0,45390.0,2,5,5,1,0,4,4,2,2,1,2,3,2,3,4,2,1,1,2,2,1,1
10052,7,87539.0,700.0,2,3,2,0,0,3,1,1,1,0,1,1,1,2,1,0,0,1,2,1,1,2
10053,45,353489.0,6212.0,2,4,7,0,1,5,3,1,1,1,2,2,1,18,3,2,3,2,3,0,0,18
10054,36,788616.0,10178.0,3,7,10,0,0,8,4,3,2,0,2,3,3,11,5,3,4,3,2,1,1,11
10055,7,111902.0,700.0,2,4,2,0,0,2,1,2,2,0,2,2,2,1,2,1,1,1,2,0,0,1
10056,1,915.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1
10057,7,27110.0,884.0,2,4,2,0,0,3,2,0,0,1,1,1,0,3,3,0,0,1,2,3,1,3
10058,11,23935.0,19038.0,2,4,6,1,0,3,3,0,0,1,1,1,0,4,2,0,0,0,3,2,1,4
10059,1,27282.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10060,13,38212.0,3216.0,2,6,5,1,0,3,4,1,1,0,1,1,1,3,4,0,0,1,3,2,1,3
10061,2,28469.0,200.0,1,2,2,0,0,1,0,1,1,0,1,1,1,2,1,0,0,2,1,0,0,2
10063,2,82563.0,200.0,2,2,2,0,0,2,1,0,0,1,1,1,0,1,1,0,0,1,2,0,0,1
10064,1,6895.0,100.0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
10065,2,25207.0,200.0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
10066,5,38852.0,500.0,2,5,2,1,0,3,2,1,1,0,1,1,1,1,3,0,0,1,1,1,1,1
10067,12,295856.0,1200.0,2,3,4,0,0,2,1,1,1,1,2,2,1,3,1,1,1,1,3,0,0,3
10068,5,10013.0,500.0,2,3,3,0,0,2,1,1,1,1,2,2,1,4,2,1,1,1,2,0,0,4
10069,16,99206.0,1600.0,2,5,4,0,0,2,6,1,1,0,1,1,1,5,4,0,0,2,1,6,1,4
10070,8,11672.0,8954.0,2,3,3,0,0,4,2,1,1,1,2,2,1,2,3,1,1,1,2,1,1,2
10071,28,73278.0,32486.0,2,6,6,0,2,4,3,2,1,0,1,1,1,7,4,0,0,2,3,2,2,7
10072,25,57130.0,20950.0,2,6,3,0,0,3,2,1,1,0,1,1,1,9,4,0,0,2,2,1,1,8
10073,5,108304.0,500.0,2,4,2,0,0,2,2,0,0,3,2,2,0,1,2,2,1,1,1,0,0,1
10074,13,19234.0,1300.0,2,3,3,0,0,2,3,2,2,1,3,3,2,8,2,3,1,2,2,0,0,8
10075,29,587480.0,9747.0,3,6,12,0,1,5,5,4,5,1,3,4,3,11,4,4,3,1,3,0,0,10
10076,3,8454.0,300.0,1,1,2,1,0,2,3,1,0,0,1,1,1,1,3,1,1,0,2,1,1,1
10077,1,915.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1
10078,7,41471.0,7000.0,2,4,3,0,0,3,3,2,2,0,2,2,2,1,4,1,1,1,2,1,1,1
10079,19,129654.0,10054.0,2,6,2,0,0,3,2,1,1,0,1,1,1,6,3,0,0,1,2,2,1,6
10080,1,2818.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
10081,6,9838.0,600.0,2,3,2,0,0,2,2,2,2,0,2,2,2,4,2,2,1,1,2,0,0,4
10082,1,20894.0,100.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10083,4,17469.0,400.0,1,2,1,0,0,1,1,1,1,0,1,1,1,3,2,0,0,2,1,1,1,3
10084,11,173489.0,1100.0,2,3,2,0,0,2,1,3,2,0,2,2,2,3,2,1,1,1,2,0,0,3
10085,8,175705.0,800.0,2,4,2,0,0,2,1,2,2,0,2,2,2,2,2,1,1,1,2,0,0,2
10086,7,10755.0,700.0,2,3,2,0,0,2,2,2,2,0,2,2,2,5,2,2,1,1,2,0,0,3
10087,10,32936.0,1000.0,1,2,2,0,0,1,1,1,1,0,1,1,1,5,2,0,0,1,1,2,1,4
10088,1,8254.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10089,23,38993.0,2300.0,2,3,2,0,0,3,7,8,10,0,5,8,7,6,1,7,6,1,2,0,0,5
10090,11,11695.0,1100.0,2,3,4,0,0,2,1,4,2,0,1,1,1,4,1,0,0,1,2,0,0,4
10091,12,25274.0,1200.0,1,3,4,0,0,1,0,0,0,1,1,1,0,4,1,0,0,0,1,0,0,4
10092,1,2818.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10093,1,915.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10094,1,1459.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10095,1,24020.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1
10096,3,2261.0,300.0,2,2,3,0,0,3,2,2,2,0,2,2,2,2,2,1,1,1,2,0,0,2
10097,9,17125.0,42652.0,2,3,5,0,0,2,1,0,0,1,1,1,0,4,2,0,0,0,2,3,1,4
10098,2,742.0,200.0,2,2,2,0,0,2,1,2,2,0,2,2,2,1,1,1,1,1,2,0,0,1
10099,7,9667.0,700.0,2,4,3,0,0,3,3,2,2,0,2,2,2,2,3,1,1,1,2,0,0,2
10100,3,8454.0,300.0,2,3,2,0,0,3,1,1,1,0,1,1,1,2,2,0,0,1,2,1,1,2
10101,26,261713.0,2600.0,2,4,2,0,0,2,1,2,2,0,2,2,1,2,2,1,1,1,2,0,0,2
10103,4,81131.0,807.0,2,3,3,0,0,3,2,2,2,0,2,2,2,3,3,1,1,1,2,0,0,3
10104,16,43515.0,1600.0,2,5,4,0,2,3,1,0,0,1,1,1,0,2,2,0,0,1,3,1,1,2
10105,1,24836.0,352.0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10106,2,5636.0,200.0,1,1,1,0,0,1,0,1,1,1,2,2,1,2,1,0,0,1,1,0,0,2
10107,57,1727937.0,7194.0,3,11,12,5,0,4,5,1,3,0,1,1,1,8,8,1,0,1,2,5,2,7
10108,6,45602.0,40704.0,2,4,3,0,0,2,3,1,1,0,1,1,1,4,3,0,0,3,2,0,0,4
10109,3,26666.0,300.0,2,2,2,0,0,2,1,2,2,0,2,2,2,3,1,1,1,1,2,0,0,3
10110,2,5363.0,200.0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
10111,6,32944.0,600.0,2,3,2,0,0,2,1,2,2,0,1,2,2,4,1,0,0,1,2,0,0,4
10112,2,20586.0,200.0,2,2,2,0,0,2,2,0,0,2,2,2,0,2,2,1,1,1,2,0,0,2
10113,30,366365.0,3000.0,2,5,3,0,1,4,4,4,4,0,3,3,4,6,2,4,3,1,3,1,1,6
10114,4,5920.0,400.0,2,3,2,0,0,3,2,2,2,0,1,2,1,2,2,2,2,1,2,1,1,2
10115,3,7583.0,300.0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
10116,7,12876.0,700.0,2,5,3,0,0,3,2,1,1,0,1,1,1,1,3,1,1,0,2,0,0,1
10117,3,10167.0,300.0,1,2,2,0,0,1,1,1,1,0,1,1,1,2,2,0,0,1,1,1,1,1
10118,5,66008.0,500.0,2,3,2,0,0,2,1,1,1,0,1,1,1,3,1,0,0,1,2,0,0,3
10119,7,17551.0,700.0,1,2,1,0,0,1,0,1,1,0,1,1,1,6,0,0,0,1,1,0,0,6
10120,31,85396.0,3100.0,2,5,2,0,0,3,3,1,1,0,1,1,1,7,4,0,0,1,1,4,2,6
10121,15,331606.0,1500.0,2,4,2,0,0,3,2,0,0,2,1,1,0,3,2,2,2,0,2,0,0,3
10122,11,19578.0,1100.0,2,3,2,0,0,2,1,1,1,0,1,1,1,6,2,1,1,1,2,0,0,6
10123,67,7100.0,61079.0,2,3,20,32,0,2,3,0,0,0,0,1,0,4,2,0,0,0,3,0,0,4
10124,9,58293.0,20210.0,2,6,5,1,0,4,3,3,3,0,2,3,3,4,4,1,1,1,3,1,1,4
10125,53,2566283.0,4302995.0,3,6,7,1,0,6,4,1,1,1,2,2,1,7,4,3,2,2,3,4,1,7
10126,10,1213370.0,1000.0,2,5,3,0,0,4,5,1,1,0,1,1,1,4,4,3,3,4,1,1,1,4
10127,21,37774.0,140935.0,1,3,3,0,0,2,2,0,0,1,1,1,0,9,2,0,0,0,2,3,1,9
10128,1,9276.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1
10129,14,238642.0,157364.0,2,5,5,0,0,3,2,1,1,0,1,1,1,6,2,0,0,1,2,1,1,6
10130,2,8082.0,200.0,1,1,2,0,0,1,0,0,0,1,1,1,0,2,0,0,0,1,1,0,0,1
10131,17,635151.0,1700.0,2,6,5,0,1,4,2,1,1,1,2,2,1,8,3,2,3,2,3,1,1,8
10132,29,16694.0,2900.0,2,4,3,0,0,4,3,2,2,0,2,2,2,3,2,2,2,1,1,0,0,3
10133,16,24703.0,1600.0,2,4,3,0,0,4,4,5,4,0,4,5,3,10,2,3,1,1,2,1,1,10
10134,12,17209.0,1200.0,1,2,1,0,0,1,0,1,1,0,1,1,1,3,0,0,0,1,1,0,0,3
10135,1,3318.0,100.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10136,9,172146.0,900.0,2,3,2,0,0,3,1,1,1,0,1,1,1,6,1,0,0,1,2,3,1,5
10137,4,16165.0,85856.0,2,4,2,0,0,3,1,1,1,0,1,1,1,2,2,0,0,1,2,1,1,2
10138,14,54671.0,1400.0,2,3,2,0,0,2,1,1,1,0,1,1,1,4,2,1,1,2,1,0,0,4
10139,9,249171.0,32784.0,2,6,3,0,0,2,3,0,0,1,1,1,0,2,5,0,0,1,1,2,1,2
10140,7,68655.0,700.0,2,4,3,0,0,2,3,0,0,1,1,1,0,3,4,0,0,1,2,2,1,3
10142,2,742.0,200.0,2,2,2,0,0,2,1,2,2,0,2,2,2,1,1,1,1,1,2,0,0,1
10143,1,21112.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
10144,17,149274.0,1700.0,2,5,7,1,1,2,4,1,1,0,1,1,1,8,4,0,0,1,4,0,0,8
10145,6,14460.0,600.0,1,1,1,0,0,1,0,1,1,0,1,1,1,6,0,0,0,1,1,0,0,6
10146,7,22988.0,700.0,2,4,3,0,0,2,2,1,1,1,2,2,1,5,2,2,1,1,2,0,0,4
10147,11,24743.0,1100.0,2,3,7,0,0,2,3,4,4,0,4,4,4,9,1,3,1,1,2,0,0,9
10148,4,57210.0,400.0,2,3,2,0,0,2,1,2,2,0,2,2,2,1,2,1,1,1,2,0,0,1
10149,10,112173.0,1000.0,2,5,2,0,0,2,2,1,1,0,1,1,1,4,4,0,0,1,2,1,1,4
10150,1,8254.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1
10151,13,42070.0,1300.0,2,4,3,0,0,2,2,3,3,0,1,3,3,6,2,2,1,1,2,0,0,6
10152,7,44700.0,700.0,2,4,3,0,0,2,2,3,3,0,3,3,3,4,2,2,1,1,2,0,0,4
10153,18,26262.0,1800.0,2,4,3,0,0,4,3,3,3,0,3,3,3,5,4,2,1,1,2,1,1,5
10154,2,9713.0,200.0,1,2,1,0,0,1,0,1,1,0,1,1,1,2,1,0,0,1,1,0,0,2
10155,5,27817.0,500.0,2,3,2,0,0,2,1,2,2,0,2,2,2,4,2,1,1,1,2,1,1,4
10156,23,222271724.0,240101.0,3,8,7,0,0,6,7,1,1,0,1,1,1,9,5,1,2,2,2,1,1,8
10157,62,210885.0,857225.0,2,6,11,2,1,5,15,3,3,0,1,2,3,18,5,3,2,1,4,7,2,13
10158,1,43048.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
10159,1,393.0,100.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10160,2,16508.0,200.0,1,2,1,0,0,1,1,0,0,1,1,1,0,1,2,0,0,1,1,0,0,1
10161,12,19676.0,1200.0,2,3,3,0,0,2,3,4,3,0,3,4,4,5,2,3,1,1,2,0,0,4
10162,16,735529.0,111869.0,1,2,2,0,0,3,2,3,3,0,3,3,3,5,2,2,12,2,1,0,0,5
10163,2,742.0,200.0,2,2,2,0,0,2,1,1,1,1,2,2,1,2,1,1,1,1,2,0,0,2
10164,11,1778579.0,18582.0,2,5,3,0,0,3,3,2,2,0,1,2,2,2,3,1,1,1,1,0,0,2
10165,4,141205.0,400.0,2,4,3,0,0,3,2,2,2,0,2,2,2,1,3,2,2,2,1,0,0,1
10166,11,73384.0,12134.0,2,4,3,0,0,3,5,2,2,0,2,2,2,8,4,1,1,1,2,0,0,8
10167,20,1932490.0,371177.0,2,5,5,0,0,5,4,2,2,1,2,3,1,8,4,3,5,1,2,1,1,8
10168,4,28125.0,400.0,1,1,3,0,0,1,1,1,1,0,1,1,1,3,1,0,0,1,1,0,0,2
10169,6,14190.0,600.0,2,3,2,0,0,2,2,2,2,1,2,3,2,3,1,2,1,1,2,0,0,3
10170,9,26721.0,900.0,2,4,3,0,0,2,1,1,2,0,1,1,1,4,3,0,0,1,2,1,1,4
10171,4,13990.0,400.0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10172,1,35165.0,100.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10173,2,249194.0,200.0,2,2,2,0,0,2,1,0,0,2,1,2,0,1,1,1,1,1,2,0,0,1
10174,4,214463.0,400.0,2,3,2,0,0,3,2,1,1,0,1,1,1,2,2,0,0,1,2,2,1,2
10175,7,24582.0,700.0,2,5,3,0,0,3,2,1,1,0,1,1,1,3,3,0,0,2,2,2,1,3
10176,2,16511.0,200.0,1,2,1,0,0,2,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1
10177,1,8254.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1
10178,3,68362.0,54877.0,2,2,3,0,0,2,1,1,1,0,1,1,1,1,1,0,0,1,2,0,0,1
10179,10,57944.0,1000.0,2,4,3,0,0,2,2,1,1,0,1,1,1,1,3,0,0,1,1,3,1,1
10180,2,767162.0,200.0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10181,14,55216.0,1400.0,2,4,4,0,0,2,3,4,4,0,2,2,4,8,2,3,1,2,2,3,1,7
10182,13,24403.0,27240.0,2,4,3,0,0,4,3,3,2,0,2,3,3,7,4,2,1,1,2,1,1,7
10183,9,22941.0,131893.0,2,3,5,0,0,2,3,0,0,1,1,1,0,4,2,0,0,0,2,2,1,4
10184,9,23521.0,7818.0,2,4,4,0,0,2,1,1,1,0,1,1,1,4,2,0,0,2,2,0,0,4
10185,2,7756.0,40376.0,2,2,2,0,0,2,1,0,0,1,1,1,0,1,1,0,0,0,2,0,0,1
10186,2,12024.0,200.0,1,1,1,0,0,1,0,1,1,0,1,1,1,2,0,0,0,1,1,0,0,2
10187,22,1734954.0,1666338.0,3,5,9,2,0,4,9,0,0,1,1,2,0,5,6,1,0,2,2,3,2,5
10188,3,11171.0,300.0,2,3,2,0,0,2,1,1,1,0,1,1,1,1,2,0,0,1,2,0,0,1
10189,7,10793.0,16720.0,2,5,2,1,0,3,1,1,1,0,1,1,1,3,2,0,0,1,2,2,2,3
10190,54,35108558.0,3524427.0,3,8,10,2,0,7,5,2,2,1,3,3,2,7,8,4,2,1,3,2,2,7
10191,3,7095.0,300.0,2,3,2,1,0,2,1,0,0,1,1,1,0,1,1,1,1,1,2,0,0,1
10192,83,8599.0,384192.0,2,3,23,33,0,2,2,0,0,0,0,1,0,4,2,0,0,0,3,0,0,4
10193,4,18610.0,402.0,2,4,3,1,0,3,2,1,1,1,2,2,1,2,3,1,1,1,3,0,0,2
10195,3,38355.0,300.0,2,2,2,0,0,3,2,2,3,0,2,2,2,3,1,2,2,1,2,0,0,3
10196,69,2239527.0,6900.0,2,6,7,0,0,3,7,4,3,2,5,5,4,25,5,5,1,4,2,0,0,17
10197,6,94562.0,600.0,2,3,3,1,0,2,2,1,1,0,1,1,1,2,2,0,0,1,3,1,1,2
10198,6,9838.0,600.0,2,3,2,0,0,2,2,3,2,0,3,3,3,4,2,2,1,1,2,0,0,4
10199,8,14933.0,27464.0,2,4,4,0,0,3,1,1,1,0,1,1,1,3,2,0,0,1,2,1,1,3
10200,3,8454.0,300.0,2,3,2,0,0,2,1,2,2,0,2,2,2,2,2,1,1,1,2,0,0,2
10201,8,23360.0,183467.0,2,3,3,0,0,2,4,0,0,1,1,1,0,2,2,0,0,1,2,2,1,2
10202,1,371.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
10203,6,225209.0,600.0,2,3,3,2,0,2,2,1,1,0,1,1,1,3,3,0,0,1,2,1,1,3
10204,41,46363579.0,17828.0,2,5,6,0,0,4,5,0,0,1,1,1,0,21,7,2,8,1,2,2,2,14
10205,6,39305.0,600.0,2,5,3,0,0,3,2,1,1,1,2,2,1,4,4,2,2,1,2,0,0,4
10206,11,21211.0,1100.0,2,3,3,0,0,2,2,0,0,3,1,3,0,7,1,2,1,0,2,0,0,7
10207,1,915.0,100.0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1
10208,3,7095.0,300.0,2,3,2,0,0,2,1,2,2,0,2,2,1,2,1,1,1,1,2,0,0,2
10209,10,48914.0,1000.0,2,7,5,0,1,4,2,2,2,1,3,3,1,4,4,1,1,1,3,1,1,4
10210,1,54465.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10211,4,8826.0,400.0,1,2,1,0,0,1,0,1,1,0,1,1,1,3,1,0,0,1,1,0,0,3
10212,3,8861.0,300.0,1,2,2,1,0,1,1,1,1,0,1,1,1,1,2,0,0,1,2,0,0,1
10213,12,34088.0,112267.0,2,3,5,0,0,2,4,0,0,1,1,1,0,4,2,0,0,1,2,2,1,4
10214,30,136324.0,3000.0,2,5,2,0,0,3,1,0,0,1,2,1,0,14,3,0,0,1,2,4,2,14
10215,4,11272.0,400.0,1,2,1,0,0,1,1,1,1,0,1,1,1,3,1,0,0,1,1,0,0,3
10216,19,7750816.0,1900.0,3,9,7,1,0,5,5,1,1,0,1,1,1,8,4,1,0,1,2,5,2,7
10217,1,21302.0,100.0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1
10218,9,1750927.0,65325212.0,2,5,4,0,0,4,2,1,1,0,1,1,1,5,3,1,1,1,2,1,1,5
10219,16,35575.0,1600.0,2,4,2,0,0,2,2,3,3,0,3,3,3,10,2,2,1,2,2,0,0,8
10220,9,27427.0,900.0,1,3,2,0,0,1,1,0,0,1,1,1,0,6,2,0,0,1,1,0,0,5
10221,7,38209.0,700.0,1,3,2,0,0,1,1,0,0,1,1,1,0,5,2,0,0,2,1,0,0,5
10222,9,69472.0,55900.0,2,6,4,0,0,4,2,0,0,1,1,1,0,4,3,1,1,1,2,1,1,4
10223,37,3109348.0,10912128.0,2,6,11,2,0,6,4,2,2,0,1,2,2,17,4,2,4,1,3,1,1,16
10224,15,80326.0,1500.0,2,5,2,0,0,3,2,1,1,0,1,1,1,6,3,0,0,2,2,1,1,6
10225,7,57781.0,700.0,2,4,3,0,0,2,1,2,2,0,1,2,2,2,2,1,1,1,2,0,0,2
10226,3,8454.0,47869.0,2,3,2,0,0,2,1,0,0,1,1,1,0,1,2,0,0,1,2,1,1,1
10227,1,236816.0,100.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10228,1,371.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
10229,2,28741.0,200.0,2,2,2,0,0,2,1,2,2,0,2,2,2,1,2,1,1,1,2,0,0,1
10230,2,68156.0,200.0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10231,4,86812.0,400.0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10232,1,915.0,100.0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1
10233,4,32175.0,400.0,1,2,1,0,0,1,1,0,0,1,1,1,0,2,2,0,0,1,0,0,0,1
10234,9,19926.0,900.0,1,2,1,0,0,1,0,0,0,2,3,2,0,5,1,0,0,1,1,0,0,4
10235,2,16509.0,200.0,1,2,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1
10236,8,3242.0,800.0,1,3,1,0,0,1,0,1,1,0,1,1,1,3,1,0,0,1,1,0,0,3
10237,15,24603.0,33794.0,2,3,3,0,0,4,2,2,2,0,2,2,2,10,3,1,1,1,2,1,1,8
10238,8,49724.0,800.0,2,4,2,0,0,2,1,1,1,1,2,2,1,2,2,1,1,2,2,0,0,2
