UID,day,success,mode,os,version,device1,device2,device_code1,device_code2,device_code3,mac1,mac2,ip1,ip2,wifi,geo_code,ip1_sub,ip2_sub
10063,21,11.0,5,2,2,3,3,1,2,2,1,1,4,0,2,2,4,0
10064,8,6.0,7,2,1,1,1,0,0,1,0,0,1,0,1,0,1,0
10066,7,7.0,2,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
10067,11,9.0,2,3,1,1,1,1,2,0,0,1,3,0,2,1,3,0
10068,14,14.0,1,1,2,1,1,1,2,0,0,1,3,0,1,1,3,0
10069,11,11.0,2,1,1,1,1,1,1,0,0,1,3,0,1,1,3,0
10070,5,5.0,1,1,1,1,1,1,2,0,0,1,1,0,1,1,1,0
10071,115,107.0,9,3,2,1,1,1,2,0,0,1,15,6,2,2,13,6
10072,98,95.0,13,2,2,1,1,1,2,1,0,1,11,5,1,2,9,4
10073,9,9.0,4,2,1,1,1,0,0,1,0,0,1,1,0,0,1,1
10074,46,41.0,3,1,2,1,1,1,2,0,0,1,7,0,4,2,7,0
10075,54,49.0,7,4,3,2,3,2,5,1,2,2,9,0,2,1,8,0
10076,9,8.0,3,3,1,1,1,0,0,1,0,0,3,0,0,0,3,0
10078,3,2.0,2,1,1,1,1,1,0,0,1,2,1,0,1,1,1,0
10079,13,12.0,2,1,2,1,1,1,2,0,0,1,2,0,1,1,2,0
10080,22,22.0,2,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10081,8,8.0,2,1,1,1,1,1,2,0,0,1,2,0,2,2,2,0
10083,3,2.0,3,2,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10086,4,4.0,1,1,1,1,1,1,2,0,0,1,2,0,1,1,2,0
10087,7,7.0,2,1,2,1,1,1,1,0,0,1,2,0,1,1,2,0
10089,3,0.0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
10090,5,3.0,3,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
10092,2,2.0,2,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10093,8,8.0,6,1,1,1,1,1,2,0,1,1,1,0,0,1,1,0
10094,17,16.0,7,1,1,1,1,1,2,0,1,2,6,0,3,1,5,0
10095,9,8.0,8,1,1,1,2,0,0,1,1,0,1,0,0,1,1,0
10097,13,12.0,3,2,1,1,1,0,0,1,0,0,4,0,0,0,4,0
10099,12,11.0,4,1,1,1,1,1,1,0,1,1,2,0,2,1,2,0
10100,3,3.0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10101,12,11.0,5,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10102,3,3.0,3,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0
10103,54,39.0,11,2,2,1,1,1,2,0,1,1,9,0,4,4,9,0
10104,36,34.0,4,3,2,1,1,0,0,1,0,0,9,1,1,2,9,1
10105,7,6.0,6,1,1,1,1,1,2,0,1,2,1,0,1,1,1,0
10106,7,6.0,5,1,1,1,1,1,2,0,1,2,2,0,0,1,2,0
10107,230,225.0,15,3,2,2,1,1,4,0,1,1,30,10,1,1,20,4
10108,26,26.0,2,1,1,1,1,1,2,0,0,1,5,0,1,3,5,0
10109,18,16.0,5,2,1,1,1,1,1,0,0,1,2,2,1,1,2,2
10111,14,13.0,5,2,1,1,2,2,3,0,1,3,3,1,1,1,3,1
10113,53,48.0,5,2,1,1,1,1,2,0,1,1,6,0,2,1,6,0
10115,19,16.0,7,1,2,2,2,3,5,0,2,4,3,0,0,1,3,0
10116,39,29.0,16,3,1,1,1,1,2,0,1,2,2,0,1,0,2,0
10117,19,18.0,7,1,1,1,1,1,1,0,1,2,4,0,0,1,2,0
10118,12,4.0,3,2,1,1,1,1,2,0,0,1,2,0,0,1,2,0
10119,4,4.0,1,1,2,1,1,1,1,0,0,1,1,0,1,1,1,0
10120,213,201.0,16,3,3,1,1,1,2,0,2,2,8,4,3,1,8,4
10121,13,13.0,4,1,1,1,1,0,0,1,0,0,2,0,0,0,2,0
10122,20,20.0,2,1,2,1,1,1,1,0,0,1,4,0,0,1,4,0
10123,160,101.0,3,2,2,2,0,1,1,0,0,1,5,0,0,0,5,0
10124,41,39.0,6,2,2,3,2,2,4,0,2,2,8,1,1,1,7,1
10125,90,83.0,11,2,3,2,1,0,0,1,0,0,8,6,1,2,8,6
10126,45,41.0,9,2,3,1,1,1,2,0,0,1,9,5,4,4,9,5
10127,20,18.0,2,1,2,1,1,0,0,1,0,0,5,0,0,0,5,0
10128,4,4.0,2,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
10129,90,89.0,3,2,2,1,1,1,2,0,0,1,19,0,1,2,18,0
10130,11,9.0,10,1,1,1,1,0,0,1,0,0,2,0,1,1,2,0
10131,30,27.0,7,2,2,1,1,1,2,0,1,2,4,0,1,1,4,0
10132,71,70.0,6,3,2,1,1,1,2,0,1,1,6,0,1,1,4,0
10133,17,17.0,3,1,2,2,2,2,2,0,1,2,4,0,1,1,4,0
10134,22,22.0,2,1,2,1,1,1,2,0,0,1,4,0,1,1,4,0
10135,3,3.0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10136,43,34.0,6,2,2,1,1,1,2,0,1,1,6,0,0,1,4,0
10137,6,6.0,2,1,1,1,1,1,1,0,0,1,2,0,1,1,2,0
10138,48,42.0,8,3,2,1,1,1,2,0,1,1,9,0,1,2,8,0
10139,28,23.0,8,3,2,1,2,0,0,1,0,0,6,1,2,1,6,1
10140,24,20.0,7,2,2,1,1,0,0,1,0,0,6,1,1,1,5,1
10141,10,9.0,9,1,1,1,1,1,1,0,1,2,1,0,0,1,1,0
10142,6,4.0,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10143,12,8.0,7,2,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10144,132,117.0,15,3,2,1,1,1,2,0,1,1,12,7,1,1,11,6
10145,5,5.0,2,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10146,32,32.0,6,2,2,1,1,1,2,0,0,1,7,1,1,2,7,1
10147,30,21.0,5,2,1,1,1,1,1,0,1,1,4,0,0,1,4,0
10148,75,44.0,6,2,2,1,1,1,2,1,1,1,7,0,2,1,7,0
10149,32,29.0,6,2,2,1,1,1,2,0,0,1,4,1,1,1,4,1
10150,12,12.0,7,1,1,1,1,0,0,1,0,0,4,0,3,1,4,0
10151,14,10.0,7,1,1,1,1,1,2,0,1,1,1,0,0,1,1,0
10152,12,12.0,2,1,1,1,1,1,2,0,0,1,2,0,0,1,2,0
10153,1,1.0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
10155,7,4.0,3,2,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10156,71,69.0,9,2,3,2,1,1,2,0,1,2,14,2,1,5,12,2
10157,473,459.0,16,3,2,1,1,2,3,0,1,1,47,6,6,1,27,6
10158,23,23.0,6,2,2,1,1,1,2,0,0,1,2,1,1,1,2,1
10160,10,9.0,8,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0
10161,17,17.0,2,1,1,1,1,1,0,0,0,1,3,0,2,1,3,0
10162,56,51.0,12,3,2,2,2,2,3,0,2,2,4,2,1,1,4,2
10163,4,4.0,4,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0
10164,40,38.0,6,2,1,1,1,1,1,0,0,1,3,1,2,2,3,1
10165,19,18.0,7,3,1,1,1,1,1,0,2,2,1,0,1,1,1,0
10166,6,6.0,1,1,1,1,1,1,1,0,0,2,3,0,2,1,3,0
10167,61,58.0,10,2,2,1,1,1,2,0,1,1,8,2,0,2,8,2
10168,4,4.0,1,1,2,1,1,1,2,0,0,1,2,0,1,1,2,0
10169,15,13.0,5,3,1,1,1,1,1,0,1,1,1,0,0,2,1,0
10170,60,49.0,9,2,1,1,1,1,3,0,1,1,7,1,1,1,7,1
10172,29,28.0,2,2,1,1,1,1,2,0,0,2,3,0,1,2,2,0
10173,6,6.0,3,1,1,1,1,0,0,1,0,0,2,0,0,0,2,0
10175,12,11.0,2,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10176,3,3.0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
10177,3,3.0,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0
10178,17,13.0,10,2,1,1,1,1,1,0,1,2,1,0,1,1,1,0
10179,12,12.0,2,1,2,1,1,1,1,0,0,1,2,0,1,1,2,0
10180,37,37.0,6,2,2,1,1,1,3,0,1,1,6,2,3,1,5,2
10181,50,36.0,5,2,1,1,1,1,2,0,1,1,6,0,1,1,5,0
10182,41,24.0,9,2,1,2,2,2,1,0,2,2,5,1,3,1,5,1
10183,14,14.0,2,1,2,1,1,0,0,1,0,0,4,0,0,0,4,0
10184,20,20.0,2,1,2,1,1,1,2,0,1,1,5,0,2,2,5,0
10185,6,5.0,3,2,1,1,1,0,0,1,0,0,2,0,0,0,2,0
10186,13,13.0,2,1,2,1,1,1,1,0,0,1,2,0,0,1,2,0
10187,36,36.0,7,2,2,1,1,0,0,1,0,0,11,3,1,3,11,3
10189,6,6.0,2,1,2,1,1,1,1,0,0,1,2,0,0,1,2,0
10190,168,167.0,13,3,2,2,2,0,0,1,0,1,14,8,1,1,14,8
10191,10,9.0,7,2,1,1,1,1,1,0,1,2,1,0,0,1,1,0
10192,216,136.0,3,2,2,2,0,1,1,0,0,1,5,0,0,0,5,0
10193,20,9.0,8,2,1,1,1,1,1,0,1,1,2,0,0,2,2,0
10194,3,3.0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
10196,114,101.0,11,3,3,5,5,4,4,2,4,6,17,2,5,3,12,2
10197,18,18.0,1,1,1,1,1,1,2,0,0,1,3,0,0,2,3,0
10198,1,1.0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10199,57,57.0,5,2,2,1,1,1,2,0,0,1,8,1,1,2,8,1
10200,1,1.0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
10201,24,13.0,5,2,1,1,1,0,0,1,0,0,5,0,0,1,5,0
10203,12,11.0,5,1,2,1,1,1,1,0,1,1,3,0,0,1,3,0
10204,51,48.0,3,2,2,2,2,0,0,1,0,1,13,0,1,1,10,0
10205,8,8.0,2,1,1,1,1,0,0,1,0,0,3,0,1,1,3,0
10206,11,11.0,5,2,2,1,1,0,0,1,0,0,4,1,0,0,4,1
10207,10,9.0,9,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0
10208,5,5.0,3,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10209,54,42.0,9,4,2,2,3,2,3,1,1,2,8,0,3,1,7,0
10210,28,24.0,9,1,1,1,1,1,1,0,1,2,1,0,1,1,1,0
10211,15,15.0,2,1,2,1,1,1,2,0,0,1,3,0,1,1,3,0
10212,12,12.0,11,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1
10213,27,17.0,3,2,1,1,1,0,0,1,0,0,5,0,0,0,5,0
10214,25,25.0,3,1,2,1,2,0,0,1,0,0,8,0,1,1,8,0
10215,15,12.0,2,1,1,1,1,1,2,0,0,1,4,0,1,1,3,0
10216,41,39.0,6,2,2,2,1,1,2,0,0,1,4,1,3,2,4,1
10217,20,17.0,9,3,4,4,1,1,0,0,1,2,7,4,1,1,7,4
10218,13,10.0,9,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1
10219,12,11.0,6,2,1,1,1,1,1,0,0,1,2,1,1,1,2,1
10220,16,16.0,2,1,1,1,2,0,0,1,0,0,6,0,0,0,6,0
10221,12,8.0,4,2,1,1,1,0,0,1,0,0,2,0,1,0,2,0
10222,35,27.0,12,3,2,1,2,0,0,1,0,0,5,0,1,1,4,0
10223,75,75.0,6,3,2,1,1,1,2,0,1,1,11,2,1,1,10,2
10224,11,11.0,2,1,2,1,1,1,2,0,0,1,4,0,2,2,4,0
10225,1,1.0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0
10226,16,15.0,7,2,2,1,1,0,0,1,0,0,5,1,0,0,5,1
10227,5,5.0,1,1,2,1,1,0,0,1,0,0,3,0,1,0,3,0
10228,30,23.0,13,2,1,1,1,1,3,0,1,2,3,0,0,1,3,0
10229,14,11.0,9,2,1,1,2,2,2,0,1,2,1,0,2,1,1,0
10230,13,12.0,6,3,1,1,1,1,2,0,1,1,1,0,0,1,1,0
10232,14,14.0,7,1,1,1,1,1,2,0,1,1,1,0,1,1,1,0
10233,26,26.0,9,2,1,1,1,0,0,1,0,0,5,2,2,0,3,2
10234,15,14.0,8,1,2,3,2,0,0,2,0,0,4,0,3,1,4,0
10236,7,6.0,2,2,1,1,1,1,1,0,0,1,3,0,3,1,3,0
10237,62,56.0,11,2,2,1,1,1,2,0,1,1,7,4,2,1,6,4
10241,35,28.0,10,3,1,1,1,0,0,1,0,0,4,1,2,2,4,1
10242,66,65.0,11,2,1,1,1,1,2,0,0,1,3,2,1,1,3,2
10244,38,30.0,9,3,2,1,1,0,0,1,0,0,6,1,1,1,6,1
10245,183,176.0,6,2,1,1,1,1,2,0,1,1,31,0,3,1,12,0
10246,17,16.0,2,1,2,1,1,1,2,0,0,1,4,0,1,1,4,0
10247,9,8.0,2,1,1,1,1,1,1,0,0,1,3,0,2,2,3,0
10248,6,4.0,4,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10249,8,8.0,5,1,1,1,1,0,0,1,0,0,4,0,0,0,3,0
10251,53,37.0,6,3,2,1,1,1,2,0,1,1,4,0,2,1,3,0
10252,15,13.0,3,2,1,1,1,0,0,1,0,0,5,0,0,0,4,0
10253,68,65.0,12,2,2,1,1,1,2,0,0,1,5,2,2,1,5,2
10254,19,19.0,1,1,1,1,1,1,2,0,0,1,3,0,1,0,3,0
10255,18,18.0,1,1,2,3,1,0,0,1,0,0,6,0,0,1,5,0
10256,50,46.0,6,2,2,1,1,1,2,0,0,1,3,1,2,1,3,1
10257,128,128.0,12,3,2,3,2,1,1,1,0,2,16,5,3,4,13,5
10258,67,65.0,15,3,3,1,2,0,0,1,0,0,13,4,2,0,12,4
10259,33,21.0,3,2,1,1,1,0,0,1,0,0,6,0,0,1,6,0
10260,2,2.0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
10261,42,27.0,3,2,1,1,1,1,2,0,0,2,3,0,1,1,2,0
10262,4,4.0,4,1,1,2,1,1,0,0,1,2,2,0,1,1,2,0
10264,30,28.0,6,1,1,1,1,1,2,0,2,3,4,0,1,1,3,0
10265,22,21.0,3,2,2,1,1,1,2,0,0,1,2,0,0,1,2,0
10266,16,16.0,4,1,1,1,1,1,1,0,1,1,2,0,1,1,2,0
10267,4,4.0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10268,10,10.0,6,1,1,1,1,1,2,0,1,1,1,0,1,1,1,0
10269,18,10.0,11,2,1,1,1,1,1,0,1,2,1,0,1,1,1,0
10271,6,4.0,5,2,1,1,1,1,1,0,1,2,1,0,1,1,1,0
10272,6,6.0,4,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
10273,13,11.0,4,1,1,1,1,1,2,0,0,2,1,0,0,1,1,0
10274,14,14.0,2,1,2,1,1,1,3,0,0,1,3,0,1,2,2,0
10275,7,7.0,1,1,2,1,1,0,0,1,0,0,3,0,0,0,3,0
10276,6,6.0,1,1,1,1,1,1,1,0,0,1,2,0,0,1,2,0
10277,16,13.0,6,1,2,1,1,1,2,0,1,1,3,0,1,1,3,0
10278,23,19.0,4,2,2,1,1,1,2,0,1,1,5,0,0,2,5,0
10279,12,8.0,7,2,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10280,12,6.0,3,2,1,1,1,1,1,0,0,1,3,0,1,1,3,0
10281,84,58.0,3,2,2,1,1,1,2,0,0,1,10,0,1,1,7,0
10282,15,15.0,5,1,1,1,1,1,2,0,1,1,4,0,2,2,4,0
10283,20,20.0,3,1,2,1,1,1,2,0,1,1,3,0,2,1,2,0
10285,3,3.0,1,1,1,1,1,1,1,0,0,1,2,0,0,1,2,0
10286,32,30.0,7,2,1,1,1,1,3,0,0,1,4,3,2,2,3,2
10288,10,7.0,10,2,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10289,11,11.0,2,1,2,1,1,2,2,0,0,1,3,0,2,1,3,0
10290,21,20.0,7,2,1,1,1,0,0,1,0,0,5,2,0,0,5,2
10291,3,3.0,2,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
10293,13,12.0,10,3,3,3,2,1,0,1,1,2,1,0,1,2,1,0
10294,5,5.0,2,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
10295,6,4.0,3,3,1,1,1,0,0,1,0,0,1,0,0,0,1,0
10296,216,210.0,10,2,2,1,1,1,2,0,1,1,19,1,1,1,14,1
10297,13,13.0,3,2,2,1,1,1,2,0,0,1,2,1,1,1,1,1
10298,25,20.0,10,1,1,1,1,1,2,0,1,2,1,0,1,1,1,0
10299,6,6.0,2,1,1,1,1,1,2,0,0,2,1,0,0,1,1,0
10300,24,12.0,3,2,1,1,1,1,2,0,0,2,2,0,2,1,2,0
10301,27,27.0,1,1,1,1,1,1,2,0,0,1,16,0,2,1,5,0
10302,261,259.0,11,2,2,1,2,2,3,0,0,2,34,17,3,2,27,13
10303,195,118.0,3,2,2,2,0,1,1,0,0,1,5,0,0,0,5,0
10304,64,63.0,5,3,2,2,3,1,1,1,0,1,15,1,1,1,15,1
10305,15,15.0,2,1,2,2,1,0,0,1,0,0,4,0,1,1,4,0
10306,52,47.0,6,2,2,2,1,1,2,0,2,1,5,0,0,3,4,0
10307,3,3.0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10308,63,35.0,4,2,1,1,1,1,2,0,1,1,5,0,1,1,5,0
10309,6,4.0,3,2,1,1,1,1,1,0,0,1,2,0,1,2,2,0
10310,32,24.0,5,2,1,1,1,1,2,0,1,1,4,0,0,1,4,0
10311,86,55.0,3,3,1,1,1,1,2,0,0,2,8,0,1,1,7,0
10312,9,9.0,6,2,1,1,1,1,2,0,1,1,2,0,0,1,2,0
10313,54,50.0,9,2,2,1,1,1,2,0,1,1,5,4,4,1,5,4
10314,11,11.0,7,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10315,6,4.0,3,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
10316,16,13.0,10,3,3,3,2,1,0,1,1,2,2,0,1,2,1,0
10317,121,120.0,9,2,2,1,1,1,2,0,0,8,15,3,4,2,11,3
10318,5,5.0,2,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10319,4,4.0,4,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10321,46,44.0,6,2,2,1,1,0,0,1,0,0,6,1,3,1,6,1
10322,18,16.0,4,2,2,1,1,1,1,1,0,1,4,0,2,1,4,0
10323,10,9.0,2,1,2,1,1,1,1,0,0,1,2,0,0,1,2,0
10324,4,2.0,2,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
10326,33,26.0,6,2,2,1,1,1,2,0,0,1,5,1,1,2,5,1
10327,4,4.0,2,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
10328,14,13.0,2,2,2,1,1,1,2,0,0,1,4,0,1,2,4,0
10330,21,17.0,4,2,2,1,1,1,2,0,0,1,4,0,2,2,4,0
10331,5,4.0,2,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10332,15,12.0,11,1,2,2,2,2,2,0,0,2,2,0,0,1,2,0
10333,9,6.0,3,2,1,1,1,0,0,1,0,0,2,0,0,0,2,0
10334,39,38.0,7,2,2,1,1,1,2,0,0,1,5,1,1,2,5,1
10335,7,7.0,6,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10336,68,58.0,6,2,2,1,2,2,4,0,1,1,12,1,3,2,10,1
10337,25,25.0,5,2,2,1,1,1,2,0,0,1,6,1,1,1,6,1
10338,9,6.0,3,2,1,1,1,1,1,0,0,1,2,0,1,1,2,0
10339,21,18.0,7,2,1,1,1,0,0,1,0,0,5,1,0,0,5,1
10341,57,52.0,14,2,2,1,1,1,2,0,1,1,7,2,3,1,6,2
10342,8,8.0,2,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0
10344,15,15.0,2,1,1,1,1,1,2,0,0,1,2,0,1,1,2,0
10345,53,20.0,4,2,1,1,1,1,0,0,0,1,4,0,2,2,4,0
10346,16,15.0,8,1,1,1,1,1,1,0,1,2,3,0,2,1,3,0
10347,5,5.0,4,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
10348,23,23.0,1,1,2,1,1,1,2,0,0,1,7,0,1,1,6,0
10349,4,4.0,2,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
10350,70,50.0,8,2,2,1,1,1,2,0,0,1,9,2,2,1,8,2
10351,7,5.0,5,1,1,1,1,1,2,0,1,1,1,0,0,1,1,0
10352,16,16.0,2,1,2,1,1,0,0,1,0,0,6,0,1,0,6,0
10353,9,9.0,2,1,1,1,1,0,0,1,0,0,2,0,0,0,2,0
10354,3,3.0,2,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
10355,6,3.0,4,2,1,1,1,1,1,0,0,0,1,0,0,1,1,0
10356,44,38.0,4,1,2,1,1,1,2,0,1,1,7,0,3,1,7,0
10357,26,24.0,9,2,2,1,1,0,0,1,0,0,7,1,0,1,6,1
10358,31,29.0,3,2,2,1,1,1,2,0,0,2,8,0,1,1,8,0
10359,6,6.0,2,1,2,1,1,1,1,0,0,1,1,0,0,0,1,0
10360,2,2.0,2,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
10361,2,2.0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0
10362,9,9.0,3,2,1,1,1,1,1,0,0,1,1,1,0,1,1,1
10364,3,3.0,3,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1
10365,9,9.0,3,1,1,1,1,0,0,1,0,0,5,0,0,0,5,0
10367,60,57.0,13,3,2,1,1,0,0,1,0,0,7,1,0,1,7,1
10368,22,20.0,8,2,2,1,1,1,2,0,1,1,5,0,1,1,3,0
10369,163,151.0,14,3,2,1,1,1,2,1,1,1,21,5,6,0,15,5
10370,5,3.0,3,2,1,1,1,0,0,1,0,0,1,0,0,0,1,0
10371,13,13.0,2,1,2,1,1,1,2,0,1,1,3,0,1,1,3,0
10372,14,14.0,5,1,1,1,1,1,1,0,1,1,4,0,1,2,4,0
10373,23,14.0,3,2,1,1,1,0,0,1,0,0,5,0,0,1,4,0
10374,173,105.0,3,2,2,2,0,1,1,0,0,1,5,0,0,0,5,0
10375,10,8.0,5,2,2,1,1,0,0,1,0,0,3,1,0,0,3,1
10376,22,16.0,5,2,2,1,1,0,0,1,0,0,6,0,0,0,3,0
10378,11,9.0,6,3,1,1,1,1,1,0,2,1,1,0,1,1,1,0
10379,55,47.0,2,3,2,1,1,1,2,0,0,1,10,0,1,2,10,0
