UID,Tag,day_x,mode,os,version,device1_x,device2_x,device_code1_x,device_code2_x,device_code3_x,mac1_x,mac2,ip1_x,ip2,wifi,geo_code_x,ip1_sub_x,ip2_sub,success,day_y,channel,amt_src1,merchant,code1,code2,trans_type1,acc_id1,device_code1_y,device_code2_y,device_code3_y,device1_y,device2_y,mac1_y,ip1_y,amt_src2,acc_id2,acc_id3,geo_code_y,trans_type2,market_code,market_type,ip1_sub_y,trans_amt,bal
10010,0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,27828.0,400.0
10011,0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,8.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2918.0,200.0
10012,0,64.0,13.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,7.0,1.0,0.0,3.0,6.0,1.0,56.0,9.0,2.0,6.0,3.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,174868.0,2441.0
10013,0,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2918.0,200.0
10014,0,30.0,6.0,1.0,3.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,2.0,2.0,7.0,0.0,29.0,12.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,8.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,7.0,35174.0,1200.0
10015,0,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,742.0,200.0
10016,0,27.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,0.0,3.0,0.0,5.0,0.0,27.0,15.0,2.0,4.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,5.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,5.0,183616.0,1500.0
10017,0,39.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,32.0,16.0,2.0,4.0,3.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,35575.0,402705.0
10018,0,23.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,15.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,43691.0,200.0
10019,1,10.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,11344.0,1232.0
10020,0,18.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,4.0,0.0,18.0,12.0,2.0,4.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,41970.0,1200.0
10021,1,191.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,117.0,76.0,2.0,3.0,23.0,32.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,8018.0,79913.0
10022,0,20.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,14.0,11.0,2.0,5.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,1.0,2.0,4.0,2.0,5.0,43095.0,1430.0
10023,0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,13691.0,100.0
10024,0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,6.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3376.0,600.0
10025,0,67.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,11.0,0.0,2.0,2.0,6.0,0.0,66.0,61.0,2.0,5.0,10.0,0.0,0.0,6.0,14.0,2.0,3.0,0.0,1.0,2.0,2.0,15.0,3.0,2.0,8.0,2.0,2.0,2.0,1.0,9.0,419631.0,2684912.0
10026,0,16.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,0.0,16.0,7.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,17008.0,700.0
10027,0,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4277.0,200.0
10028,0,25.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,22.0,8.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,23086.0,2462.0
10029,0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,10.0,9.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,6.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,4.0,21285.0,900.0
10030,0,11.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,371.0,100.0
10031,0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,85553.0,200.0
10032,0,20.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,5.0,1.0,19.0,6.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,17848.0,16353.0
10033,0,27.0,8.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,25.0,10.0,2.0,6.0,5.0,1.0,0.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,42457.0,5050.0
10034,0,19.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,19.0,10.0,2.0,5.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,23287.0,20808.0
10035,0,112.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,12.0,0.0,3.0,5.0,6.0,0.0,112.0,7.0,3.0,5.0,5.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,3846721.0,700.0
10036,0,184.0,7.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,22.0,6.0,1.0,2.0,22.0,6.0,179.0,36.0,3.0,3.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0,48932640.0,3600.0
10037,0,15.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,15.0,11.0,2.0,4.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,24946.0,108152.0
10038,0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,275525.0,300.0
10039,0,17.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,17.0,14.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,32657.0,39340.0
10040,0,58.0,10.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,6.0,1.0,3.0,3.0,5.0,1.0,51.0,4.0,2.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,101170.0,58530.0
10041,1,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,10973.0,100.0
10042,0,43.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,5.0,0.0,27.0,9.0,2.0,4.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,21829.0,3074.0
10043,0,16.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,16.0,4.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,25680.0,8712.0
10044,0,15.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,0.0,10.0,10.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,12277.0,1000.0
10045,0,16.0,9.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,15.0,6.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,62112.0,600.0
10046,0,13.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,12.0,8.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,116459.0,800.0
10047,0,35.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,9.0,0.0,1.0,2.0,9.0,0.0,35.0,16.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,9.0,31498.0,1600.0
10048,0,21.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,17.0,14.0,2.0,3.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,39452.0,138535.0
10049,0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,170291.0,400.0
10050,0,23.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,23.0,3.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8483.0,2072.0
10051,0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,10.0,2.0,5.0,5.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,535424.0,45390.0
10052,0,27.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,7.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,87539.0,700.0
10053,0,69.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,12.0,0.0,0.0,2.0,12.0,0.0,50.0,45.0,2.0,4.0,7.0,0.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,18.0,3.0,2.0,3.0,2.0,3.0,0.0,0.0,18.0,353489.0,6212.0
10054,0,316.0,18.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,4.0,3.0,14.0,9.0,2.0,4.0,14.0,9.0,300.0,36.0,3.0,7.0,10.0,0.0,0.0,8.0,4.0,3.0,2.0,0.0,2.0,3.0,3.0,11.0,5.0,3.0,4.0,3.0,2.0,1.0,1.0,11.0,788616.0,10178.0
10055,0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,111902.0,700.0
10056,0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,915.0,100.0
10057,0,13.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,11.0,7.0,2.0,4.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,27110.0,884.0
10058,1,27.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,24.0,11.0,2.0,4.0,6.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,23935.0,19038.0
10059,0,27.0,10.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,27282.0,100.0
10060,0,227.0,13.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,21.0,9.0,1.0,1.0,15.0,8.0,215.0,13.0,2.0,6.0,5.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,38212.0,3216.0
10061,0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,28469.0,200.0
10062,1,13.0,10.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
10063,0,21.0,5.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,0.0,2.0,2.0,4.0,0.0,11.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,82563.0,200.0
10064,1,8.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6895.0,100.0
10065,0,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,25207.0,200.0
10066,0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,5.0,2.0,5.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,38852.0,500.0
10067,0,11.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,9.0,12.0,2.0,3.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,295856.0,1200.0
10068,0,14.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,14.0,5.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,10013.0,500.0
10069,0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,11.0,16.0,2.0,5.0,4.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,2.0,1.0,6.0,1.0,4.0,99206.0,1600.0
10070,0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,8.0,2.0,3.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,11672.0,8954.0
10071,0,115.0,9.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,15.0,6.0,2.0,2.0,13.0,6.0,107.0,28.0,2.0,6.0,6.0,0.0,2.0,4.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,7.0,4.0,0.0,0.0,2.0,3.0,2.0,2.0,7.0,73278.0,32486.0
10072,0,98.0,13.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,11.0,5.0,1.0,2.0,9.0,4.0,95.0,25.0,2.0,6.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,8.0,57130.0,20950.0
10073,0,9.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,9.0,5.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,108304.0,500.0
10074,0,46.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,7.0,0.0,4.0,2.0,7.0,0.0,41.0,13.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,8.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,8.0,19234.0,1300.0
10075,0,54.0,7.0,4.0,3.0,2.0,3.0,2.0,5.0,1.0,2.0,2.0,9.0,0.0,2.0,1.0,8.0,0.0,49.0,29.0,3.0,6.0,12.0,0.0,1.0,5.0,5.0,4.0,5.0,1.0,3.0,4.0,3.0,11.0,4.0,4.0,3.0,1.0,3.0,0.0,0.0,10.0,587480.0,9747.0
10076,1,9.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,8454.0,300.0
10077,0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,915.0,100.0
