UID,days_sum,days_sub,days_rate,o_t_days
10092,3.0,1.0,2.0,1.0
10093,9.0,7.0,8.0,1.0
10094,18.0,16.0,17.0,1.0
10095,10.0,8.0,9.0,0.0
10096,,,,
10097,22.0,4.0,1.4444444444444444,5.0
10098,,,,
10099,19.0,5.0,1.7142857142857142,1.0
10100,6.0,0.0,1.0,0.0
10101,38.0,-14.0,0.46153846153846156,1.0
10102,,,,
10103,58.0,50.0,13.5,2.0
10104,52.0,20.0,2.25,4.0
10105,8.0,6.0,7.0,1.0
10106,9.0,5.0,3.5,1.0
10107,287.0,173.0,4.035087719298246,15.0
10108,32.0,20.0,4.333333333333333,4.0
10109,21.0,15.0,6.0,2.0
10110,,,,
10111,20.0,8.0,2.3333333333333335,3.0
10112,,,,
10113,83.0,23.0,1.7666666666666666,3.0
10114,,,,
10115,22.0,16.0,6.333333333333333,1.0
10116,46.0,32.0,5.571428571428571,1.0
10117,22.0,16.0,6.333333333333333,2.0
10118,17.0,7.0,2.4,2.0
10119,11.0,-3.0,0.5714285714285714,1.0
10120,244.0,182.0,6.870967741935484,12.0
10121,28.0,-2.0,0.8666666666666667,2.0
10122,31.0,9.0,1.8181818181818181,4.0
10123,227.0,93.0,2.388059701492537,11.0
10124,50.0,32.0,4.555555555555555,3.0
10125,143.0,37.0,1.6981132075471699,8.0
10126,55.0,35.0,4.5,2.0
10127,41.0,-1.0,0.9523809523809523,5.0
10128,5.0,3.0,4.0,1.0
10129,104.0,76.0,6.428571428571429,3.0
10130,13.0,9.0,5.5,1.0
10131,47.0,13.0,1.7647058823529411,3.0
10132,100.0,42.0,2.4482758620689653,5.0
10133,33.0,1.0,1.0625,4.0
10134,34.0,10.0,1.8333333333333333,3.0
10135,4.0,2.0,3.0,0.0
10136,52.0,34.0,4.777777777777778,3.0
10137,10.0,2.0,1.5,1.0
10138,62.0,34.0,3.4285714285714284,5.0
10139,37.0,19.0,3.111111111111111,2.0
10140,31.0,17.0,3.4285714285714284,3.0
10141,,,,
10142,8.0,4.0,3.0,1.0
10143,13.0,11.0,12.0,1.0
10144,149.0,115.0,7.764705882352941,6.0
10145,11.0,-1.0,0.8333333333333334,1.0
10146,39.0,25.0,4.571428571428571,1.0
10147,41.0,19.0,2.727272727272727,3.0
10148,79.0,71.0,18.75,1.0
10149,42.0,22.0,3.2,3.0
10150,13.0,11.0,12.0,1.0
10151,27.0,1.0,1.0769230769230769,1.0
10152,19.0,5.0,1.7142857142857142,1.0
10153,19.0,-17.0,0.05555555555555555,1.0
10154,,,,
10155,12.0,2.0,1.4,1.0
10156,94.0,48.0,3.0869565217391304,7.0
10157,535.0,411.0,7.629032258064516,17.0
10158,24.0,22.0,23.0,0.0
10159,,,,
10160,12.0,8.0,5.0,1.0
10161,29.0,5.0,1.4166666666666667,3.0
10162,72.0,40.0,3.5,6.0
10163,6.0,2.0,2.0,1.0
10164,51.0,29.0,3.6363636363636362,1.0
10165,23.0,15.0,4.75,1.0
10166,17.0,-5.0,0.5454545454545454,2.0
10167,81.0,41.0,3.05,7.0
10168,8.0,0.0,1.0,1.0
10169,21.0,9.0,2.5,1.0
10170,69.0,51.0,6.666666666666667,3.0
10171,,,,
10172,30.0,28.0,29.0,1.0
10173,8.0,4.0,3.0,1.0
10174,,,,
10175,19.0,5.0,1.7142857142857142,1.0
10176,5.0,1.0,1.5,0.0
10177,4.0,2.0,3.0,1.0
10178,20.0,14.0,5.666666666666667,1.0
10179,22.0,2.0,1.2,3.0
10180,39.0,35.0,18.5,0.0
10181,64.0,36.0,3.5714285714285716,4.0
10182,54.0,28.0,3.1538461538461537,3.0
10183,23.0,5.0,1.5555555555555556,3.0
10184,29.0,11.0,2.2222222222222223,4.0
10185,8.0,4.0,3.0,2.0
10186,15.0,11.0,6.5,2.0
10187,58.0,14.0,1.6363636363636365,5.0
10188,,,,
10189,13.0,-1.0,0.8571428571428571,2.0
10190,222.0,114.0,3.111111111111111,17.0
10191,13.0,7.0,3.3333333333333335,1.0
10192,299.0,133.0,2.602409638554217,13.0
10193,24.0,16.0,5.0,1.0
10194,,,,
10195,,,,
10196,183.0,45.0,1.6521739130434783,15.0
10197,24.0,12.0,3.0,2.0
10198,7.0,-5.0,0.16666666666666666,1.0
10199,65.0,49.0,7.125,3.0
10200,4.0,-2.0,0.3333333333333333,1.0
10201,32.0,16.0,3.0,5.0
10202,,,,
10203,18.0,6.0,2.0,2.0
10204,92.0,10.0,1.2439024390243902,12.0
10205,14.0,2.0,1.3333333333333333,3.0
10206,22.0,0.0,1.0,4.0
10207,11.0,9.0,10.0,1.0
10208,8.0,2.0,1.6666666666666667,1.0
10209,64.0,44.0,5.4,2.0
10210,29.0,27.0,28.0,1.0
10211,19.0,11.0,3.75,2.0
10212,15.0,9.0,4.0,1.0
10213,39.0,15.0,2.25,5.0
10214,55.0,-5.0,0.8333333333333334,5.0
10215,19.0,11.0,3.75,2.0
10216,60.0,22.0,2.1578947368421053,5.0
10217,21.0,19.0,20.0,1.0
10218,22.0,4.0,1.4444444444444444,1.0
10219,28.0,-4.0,0.75,2.0
10220,25.0,7.0,1.7777777777777777,3.0
10221,19.0,5.0,1.7142857142857142,2.0
10222,44.0,26.0,3.888888888888889,4.0
10223,112.0,38.0,2.027027027027027,9.0
10224,26.0,-4.0,0.7333333333333333,3.0
10225,8.0,-6.0,0.14285714285714285,1.0
10226,19.0,13.0,5.333333333333333,1.0
10227,6.0,4.0,5.0,0.0
10228,31.0,29.0,30.0,1.0
10229,16.0,12.0,7.0,1.0
10230,15.0,11.0,6.5,1.0
10231,,,,
10232,15.0,13.0,14.0,1.0
10233,30.0,22.0,6.5,2.0
10234,24.0,6.0,1.6666666666666667,3.0
10235,,,,
10236,15.0,-1.0,0.875,2.0
10237,77.0,47.0,4.133333333333334,7.0
10238,,,,
10239,,,,
10240,,,,
10241,37.0,33.0,17.5,1.0
10242,72.0,60.0,11.0,1.0
10243,,,,
10244,41.0,35.0,12.666666666666666,2.0
10245,199.0,167.0,11.4375,9.0
10246,29.0,5.0,1.4166666666666667,2.0
10247,17.0,1.0,1.125,2.0
10248,14.0,-2.0,0.75,1.0
10249,17.0,-1.0,0.8888888888888888,1.0
10250,,,,
10251,68.0,38.0,3.533333333333333,3.0
10252,19.0,11.0,3.75,2.0
10253,84.0,52.0,4.25,4.0
10254,23.0,15.0,4.75,1.0
10255,23.0,13.0,3.6,1.0
10256,55.0,45.0,10.0,0.0
10257,187.0,69.0,2.169491525423729,12.0
10258,102.0,32.0,1.9142857142857144,9.0
10259,47.0,19.0,2.357142857142857,6.0
10260,7.0,-3.0,0.4,1.0
10261,52.0,32.0,4.2,3.0
10262,,,,
10263,,,,
10264,37.0,23.0,4.285714285714286,3.0
10265,25.0,19.0,7.333333333333333,2.0
10266,29.0,3.0,1.2307692307692308,1.0
10267,6.0,2.0,2.0,0.0
10268,14.0,6.0,2.5,1.0
10269,19.0,17.0,18.0,1.0
10270,,,,
10271,9.0,3.0,2.0,1.0
10272,7.0,5.0,6.0,1.0
10273,16.0,10.0,4.333333333333333,1.0
10274,17.0,11.0,4.666666666666667,1.0
10275,22.0,-8.0,0.4666666666666667,2.0
10276,9.0,3.0,2.0,1.0
10277,23.0,9.0,2.2857142857142856,3.0
10278,32.0,14.0,2.5555555555555554,4.0
10279,13.0,11.0,12.0,1.0
10280,22.0,2.0,1.2,2.0
10281,103.0,65.0,4.421052631578948,7.0
10282,21.0,9.0,2.5,2.0
10283,36.0,4.0,1.25,1.0
10284,,,,
10285,4.0,2.0,3.0,0.0
10286,40.0,24.0,4.0,1.0
10287,,,,
10288,12.0,8.0,5.0,1.0
10289,14.0,8.0,3.6666666666666665,2.0
10290,34.0,8.0,1.6153846153846154,4.0
10291,14.0,-8.0,0.2727272727272727,1.0
10292,,,,
10293,,,,
10294,6.0,4.0,5.0,1.0
10295,9.0,3.0,2.0,1.0
10296,301.0,131.0,2.541176470588235,18.0
10297,20.0,6.0,1.8571428571428572,1.0
10298,26.0,24.0,25.0,1.0
10299,12.0,0.0,1.0,1.0
10300,30.0,18.0,4.0,3.0
10301,40.0,14.0,2.076923076923077,2.0
10302,284.0,238.0,11.347826086956522,9.0
10303,271.0,119.0,2.5657894736842106,11.0
10304,96.0,32.0,2.0,12.0
10305,16.0,14.0,15.0,1.0
10306,62.0,42.0,5.2,2.0
10307,4.0,2.0,3.0,0.0
10308,78.0,48.0,4.2,4.0
10309,16.0,-4.0,0.6,2.0
10310,42.0,22.0,3.2,3.0
10311,109.0,63.0,3.739130434782609,7.0
10312,12.0,6.0,3.0,1.0
10313,68.0,40.0,3.857142857142857,2.0
10314,12.0,10.0,11.0,1.0
10315,9.0,3.0,2.0,0.0
10316,,,,
10317,138.0,104.0,7.117647058823529,5.0
10318,8.0,2.0,1.6666666666666667,1.0
10319,5.0,3.0,4.0,1.0
10320,,,,
10321,54.0,38.0,5.75,1.0
10322,32.0,4.0,1.2857142857142858,2.0
10323,13.0,7.0,3.3333333333333335,1.0
10324,5.0,3.0,4.0,1.0
10325,,,,
10326,39.0,27.0,5.5,2.0
10327,16.0,-8.0,0.3333333333333333,1.0
10328,15.0,13.0,14.0,0.0
10329,,,,
10330,25.0,17.0,5.25,3.0
10331,7.0,3.0,2.5,1.0
10332,20.0,10.0,3.0,1.0
10333,23.0,-5.0,0.6428571428571429,2.0
10334,44.0,34.0,7.8,2.0
10335,8.0,6.0,7.0,1.0
10336,83.0,53.0,4.533333333333333,3.0
10337,31.0,19.0,4.166666666666667,2.0
10338,25.0,-7.0,0.5625,2.0
10339,26.0,16.0,4.2,3.0
10340,,,,
10341,70.0,44.0,4.384615384615385,4.0
10342,21.0,-5.0,0.6153846153846154,1.0
10343,,,,
10344,25.0,5.0,1.5,1.0
10345,67.0,39.0,3.7857142857142856,4.0
10346,17.0,15.0,16.0,1.0
10347,,,,
10348,34.0,12.0,2.090909090909091,2.0
10349,5.0,3.0,4.0,1.0
10350,86.0,54.0,4.375,3.0
10351,8.0,6.0,7.0,1.0
10352,24.0,8.0,2.0,2.0
10353,17.0,1.0,1.125,1.0
10354,4.0,2.0,3.0,1.0
10355,12.0,0.0,1.0,1.0
10356,59.0,29.0,2.933333333333333,4.0
10357,40.0,12.0,1.8571428571428572,3.0
10358,54.0,8.0,1.3478260869565217,4.0
10359,16.0,-4.0,0.6,1.0
10360,3.0,1.0,2.0,1.0
10361,,,,
10362,11.0,7.0,4.5,1.0
10363,,,,
10364,5.0,1.0,1.5,0.0
10365,19.0,-1.0,0.9,3.0
10366,,,,
10367,79.0,41.0,3.1578947368421053,7.0
10368,25.0,19.0,7.333333333333333,0.0
10369,176.0,150.0,12.538461538461538,4.0
10370,11.0,-1.0,0.8333333333333334,1.0
10371,18.0,8.0,2.6,2.0
10372,28.0,0.0,1.0,3.0
10373,35.0,11.0,1.9166666666666667,5.0
10374,243.0,103.0,2.4714285714285715,13.0
10375,20.0,0.0,1.0,1.0
10376,34.0,10.0,1.8333333333333333,8.0
10377,,,,
10378,,,,
10379,81.0,29.0,2.1153846153846154,17.0
10380,56.0,20.0,2.111111111111111,6.0
10381,6.0,4.0,5.0,1.0
10382,10.0,-4.0,0.42857142857142855,1.0
10383,49.0,11.0,1.5789473684210527,4.0
10384,7.0,3.0,2.5,1.0
10385,159.0,131.0,10.357142857142858,4.0
10386,60.0,18.0,1.8571428571428572,7.0
10387,16.0,8.0,3.0,1.0
10388,48.0,30.0,4.333333333333333,2.0
10389,30.0,4.0,1.3076923076923077,1.0
10390,,,,
10391,43.0,19.0,2.5833333333333335,4.0
10392,41.0,-1.0,0.9523809523809523,5.0
10393,27.0,15.0,3.5,2.0
10394,14.0,8.0,3.6666666666666665,1.0
10395,6.0,4.0,5.0,1.0
10396,57.0,23.0,2.3529411764705883,6.0
10397,11.0,9.0,10.0,1.0
10398,51.0,25.0,2.923076923076923,2.0
10399,,,,
10400,55.0,51.0,26.5,0.0
10401,19.0,-1.0,0.9,3.0
10402,7.0,3.0,2.5,1.0
10403,10.0,8.0,9.0,1.0
10404,33.0,21.0,4.5,2.0
10405,41.0,5.0,1.2777777777777777,4.0
10406,,,,
10407,53.0,45.0,12.25,3.0
10408,23.0,19.0,10.5,1.0
10409,9.0,1.0,1.25,2.0
10410,57.0,15.0,1.7142857142857142,5.0
10411,8.0,-4.0,0.3333333333333333,1.0
10412,9.0,7.0,8.0,0.0
10413,13.0,7.0,3.3333333333333335,1.0
10414,53.0,17.0,1.9444444444444444,6.0
10415,53.0,1.0,1.0384615384615385,5.0
10416,54.0,16.0,1.8421052631578947,1.0
10417,182.0,156.0,13.0,7.0
10418,71.0,55.0,7.875,3.0
10419,85.0,39.0,2.6956521739130435,7.0
10420,16.0,14.0,15.0,1.0
10421,12.0,6.0,3.0,1.0
10422,,,,
10423,23.0,-3.0,0.7692307692307693,1.0
10424,20.0,4.0,1.5,2.0
10425,19.0,5.0,1.7142857142857142,1.0
10426,5.0,3.0,4.0,1.0
10427,29.0,3.0,1.2307692307692308,2.0
10428,86.0,68.0,8.555555555555555,2.0
10429,23.0,-11.0,0.35294117647058826,1.0
10430,32.0,10.0,1.9090909090909092,3.0
10431,,,,
10432,13.0,5.0,2.25,1.0
10433,53.0,15.0,1.7894736842105263,3.0
10434,11.0,7.0,4.5,0.0
10435,14.0,8.0,3.6666666666666665,0.0
10436,27.0,15.0,3.5,1.0
10437,26.0,20.0,7.666666666666667,1.0
10438,,,,
10439,7.0,3.0,2.5,1.0
10440,42.0,30.0,6.0,3.0
10441,349.0,55.0,1.3741496598639455,26.0
10442,16.0,4.0,1.6666666666666667,2.0
10443,16.0,14.0,15.0,1.0
10444,11.0,-7.0,0.2222222222222222,1.0
10445,35.0,13.0,2.1818181818181817,5.0
10446,82.0,28.0,2.037037037037037,6.0
10447,19.0,17.0,18.0,0.0
10448,84.0,56.0,5.0,5.0
10449,8.0,6.0,7.0,1.0
10450,148.0,114.0,7.705882352941177,5.0
10451,17.0,15.0,16.0,1.0
10452,,,,
10453,29.0,-5.0,0.7058823529411765,2.0
10454,39.0,-5.0,0.7727272727272727,7.0
10455,28.0,4.0,1.3333333333333333,2.0
10456,56.0,16.0,1.8,3.0
10457,34.0,10.0,1.8333333333333333,4.0
10458,11.0,1.0,1.2,1.0
10459,14.0,-4.0,0.5555555555555556,1.0
10460,13.0,9.0,5.5,1.0
10461,136.0,94.0,5.476190476190476,8.0
10462,,,,
10463,,,,
10464,,,,
10465,46.0,30.0,4.75,2.0
10466,,,,
10467,9.0,7.0,8.0,0.0
10468,76.0,54.0,5.909090909090909,4.0
10469,,,,
10470,,,,
10471,6.0,0.0,1.0,1.0
10472,58.0,32.0,3.4615384615384617,2.0
10473,20.0,-2.0,0.8181818181818182,1.0
10474,,,,
10475,7.0,5.0,6.0,1.0
10476,100.0,60.0,4.0,5.0
10477,,,,
10478,25.0,7.0,1.7777777777777777,2.0
10479,9.0,7.0,8.0,1.0
10480,,,,
10481,28.0,12.0,2.5,4.0
10482,14.0,-6.0,0.4,1.0
10483,186.0,130.0,5.642857142857143,15.0
10484,94.0,58.0,4.222222222222222,4.0
10485,108.0,82.0,7.3076923076923075,3.0
10486,33.0,17.0,3.125,3.0
10487,15.0,9.0,4.0,1.0
10488,32.0,4.0,1.2857142857142858,2.0
10489,71.0,45.0,4.461538461538462,4.0
10490,,,,
10491,14.0,6.0,2.5,1.0
10492,,,,
10493,18.0,14.0,8.0,1.0
10494,114.0,48.0,2.4545454545454546,9.0
10495,53.0,43.0,9.6,1.0
10496,8.0,2.0,1.6666666666666667,1.0
10497,2.0,0.0,1.0,0.0
10498,81.0,39.0,2.857142857142857,10.0
10499,17.0,1.0,1.125,1.0
10500,25.0,9.0,2.125,3.0
10501,80.0,42.0,3.210526315789474,4.0
10502,28.0,-2.0,0.8666666666666667,1.0
10503,,,,
10504,10.0,2.0,1.5,1.0
10505,379.0,343.0,20.055555555555557,8.0
10506,258.0,114.0,2.5833333333333335,12.0
10507,7.0,5.0,6.0,1.0
10508,63.0,7.0,1.25,7.0
10509,7.0,5.0,6.0,1.0
10510,75.0,-5.0,0.875,6.0
10511,30.0,20.0,5.0,4.0
10512,14.0,4.0,1.8,2.0
10513,16.0,12.0,7.0,1.0
10514,12.0,6.0,3.0,1.0
10515,7.0,-3.0,0.4,0.0
10516,,,,
10517,17.0,1.0,1.125,2.0
10518,43.0,27.0,4.375,3.0
10519,27.0,9.0,2.0,2.0
10520,,,,
10521,30.0,12.0,2.3333333333333335,2.0
10522,20.0,-2.0,0.8181818181818182,1.0
10523,26.0,6.0,1.6,4.0
10524,275.0,213.0,7.870967741935484,13.0
10525,18.0,-2.0,0.8,1.0
10526,2.0,0.0,1.0,1.0
10527,11.0,-1.0,0.8333333333333334,2.0
10528,20.0,14.0,5.666666666666667,2.0
10529,7.0,3.0,2.5,1.0
10530,11.0,7.0,4.5,0.0
10531,65.0,29.0,2.611111111111111,5.0
10532,16.0,-6.0,0.45454545454545453,1.0
10533,34.0,26.0,7.5,1.0
10534,55.0,45.0,10.0,4.0
10535,45.0,-1.0,0.9565217391304348,3.0
10536,192.0,164.0,12.714285714285714,4.0
10537,6.0,4.0,5.0,1.0
10538,21.0,17.0,9.5,1.0
10539,,,,
10540,40.0,18.0,2.6363636363636362,1.0
10541,26.0,4.0,1.3636363636363635,2.0
10542,208.0,108.0,3.16,12.0
10543,8.0,4.0,3.0,1.0
10544,22.0,14.0,4.5,3.0
10545,45.0,5.0,1.25,2.0
10546,,,,
10547,26.0,18.0,5.5,2.0
10548,349.0,129.0,2.172727272727273,16.0
10549,,,,
10550,15.0,7.0,2.75,1.0
10551,,,,
10552,18.0,2.0,1.25,3.0
10553,32.0,10.0,1.9090909090909092,0.0
10554,9.0,5.0,3.5,0.0
10555,23.0,5.0,1.5555555555555556,1.0
10556,8.0,0.0,1.0,1.0
10557,10.0,-4.0,0.42857142857142855,0.0
10558,32.0,12.0,2.2,2.0
10559,41.0,15.0,2.1538461538461537,3.0
10560,80.0,32.0,2.3333333333333335,5.0
10561,,,,
10562,28.0,0.0,1.0,4.0
10563,32.0,24.0,7.0,2.0
10564,35.0,21.0,4.0,3.0
10565,11.0,7.0,4.5,1.0
10566,100.0,82.0,10.11111111111111,3.0
10567,,,,
10568,5.0,-3.0,0.25,0.0
10569,17.0,13.0,7.5,1.0
10570,3.0,-1.0,0.5,1.0
10571,6.0,2.0,2.0,1.0
10572,50.0,6.0,1.2727272727272727,5.0
10573,54.0,32.0,3.909090909090909,5.0
10574,5.0,3.0,4.0,1.0
10575,5.0,3.0,4.0,1.0
10576,13.0,7.0,3.3333333333333335,1.0
10577,6.0,4.0,5.0,1.0
10578,38.0,12.0,1.9230769230769231,3.0
10579,34.0,20.0,3.857142857142857,1.0
10580,26.0,20.0,7.666666666666667,2.0
10581,75.0,49.0,4.769230769230769,3.0
10582,173.0,137.0,8.61111111111111,7.0
10583,256.0,112.0,2.5555555555555554,17.0
10584,29.0,15.0,3.142857142857143,2.0
10585,24.0,0.0,1.0,2.0
10586,,,,
10587,52.0,14.0,1.736842105263158,3.0
10588,45.0,17.0,2.2142857142857144,4.0
10589,,,,
10590,39.0,7.0,1.4375,1.0
10591,13.0,-3.0,0.625,1.0
10592,19.0,-7.0,0.46153846153846156,1.0
10593,201.0,117.0,3.7857142857142856,7.0
10594,18.0,6.0,2.0,2.0
10595,103.0,27.0,1.7105263157894737,10.0
10596,12.0,0.0,1.0,1.0
10597,28.0,-8.0,0.5555555555555556,1.0
10598,12.0,8.0,5.0,1.0
10599,14.0,4.0,1.8,2.0
10600,22.0,4.0,1.4444444444444444,1.0
10601,245.0,105.0,2.5,12.0
10602,26.0,4.0,1.3636363636363635,2.0
10603,28.0,8.0,1.8,4.0
10604,31.0,11.0,2.1,2.0
10605,10.0,-4.0,0.42857142857142855,1.0
10606,14.0,6.0,2.5,2.0
10607,10.0,-8.0,0.1111111111111111,1.0
10608,32.0,10.0,1.9090909090909092,4.0
10609,18.0,14.0,8.0,1.0
10610,28.0,0.0,1.0,2.0
10611,,,,
10612,9.0,3.0,2.0,1.0
10613,21.0,5.0,1.625,1.0
10614,34.0,8.0,1.6153846153846154,3.0
10615,201.0,167.0,10.823529411764707,4.0
10616,97.0,43.0,2.5925925925925926,7.0
10617,14.0,-8.0,0.2727272727272727,1.0
10618,9.0,7.0,8.0,1.0
10619,54.0,26.0,2.857142857142857,1.0
10620,,,,
10621,12.0,10.0,11.0,0.0
10622,65.0,47.0,6.222222222222222,2.0
10623,108.0,74.0,5.352941176470588,8.0
10624,104.0,22.0,1.5365853658536586,5.0
10625,42.0,20.0,2.8181818181818183,2.0
10626,36.0,2.0,1.1176470588235294,4.0
10627,51.0,19.0,2.1875,6.0
10628,72.0,36.0,3.0,2.0
10629,110.0,90.0,10.0,5.0
10630,8.0,6.0,7.0,1.0
10631,32.0,20.0,4.333333333333333,2.0
10632,,,,
10633,17.0,-1.0,0.8888888888888888,3.0
10634,,,,
10635,10.0,6.0,4.0,1.0
10636,5.0,-1.0,0.6666666666666666,1.0
10637,30.0,16.0,3.2857142857142856,2.0
10638,58.0,48.0,10.6,4.0
10639,31.0,23.0,6.75,1.0
10640,25.0,-17.0,0.19047619047619047,2.0
10641,41.0,23.0,3.5555555555555554,4.0
10642,113.0,71.0,4.380952380952381,4.0
10643,255.0,109.0,2.493150684931507,12.0
10644,12.0,8.0,5.0,1.0
10645,17.0,-3.0,0.7,1.0
10646,18.0,4.0,1.5714285714285714,1.0
10647,12.0,10.0,11.0,0.0
10648,,,,
10649,39.0,21.0,3.3333333333333335,2.0
10650,,,,
10651,63.0,25.0,2.3157894736842106,5.0
10652,37.0,17.0,2.7,2.0
10653,13.0,11.0,12.0,1.0
10654,32.0,26.0,9.666666666666666,1.0
10655,47.0,17.0,2.1333333333333333,3.0
10656,41.0,3.0,1.1578947368421053,3.0
10657,10.0,-2.0,0.6666666666666666,1.0
10658,65.0,59.0,20.666666666666668,2.0
10659,12.0,-10.0,0.09090909090909091,1.0
10660,54.0,34.0,4.4,3.0
10661,9.0,-3.0,0.5,1.0
10662,,,,
10663,47.0,25.0,3.272727272727273,4.0
10664,18.0,14.0,8.0,1.0
10665,42.0,22.0,3.2,2.0
10666,80.0,36.0,2.6363636363636362,6.0
10667,8.0,6.0,7.0,1.0
10668,24.0,18.0,7.0,1.0
10669,114.0,68.0,3.9565217391304346,5.0
10670,12.0,0.0,1.0,1.0
10671,7.0,-3.0,0.4,1.0
10672,23.0,9.0,2.2857142857142856,3.0
10673,39.0,21.0,3.3333333333333335,2.0
10674,50.0,30.0,4.0,3.0
10675,84.0,34.0,2.36,11.0
10676,,,,
10677,36.0,10.0,1.7692307692307692,2.0
10678,,,,
10679,36.0,34.0,35.0,1.0
10680,18.0,8.0,2.6,2.0
10681,21.0,5.0,1.625,3.0
10682,77.0,53.0,5.416666666666667,3.0
10683,23.0,-7.0,0.5333333333333333,2.0
10684,69.0,17.0,1.6538461538461537,6.0
10685,16.0,8.0,3.0,3.0
10686,20.0,10.0,3.0,1.0
10687,70.0,38.0,3.375,5.0
10688,25.0,11.0,2.5714285714285716,4.0
10689,4.0,2.0,3.0,0.0
10690,41.0,7.0,1.411764705882353,3.0
10691,,,,
10692,7.0,5.0,6.0,1.0
10693,9.0,7.0,8.0,1.0
10694,14.0,8.0,3.6666666666666665,2.0
10695,58.0,26.0,2.625,5.0
10696,8.0,6.0,7.0,1.0
10697,14.0,8.0,3.6666666666666665,1.0
10698,87.0,79.0,20.75,1.0
10699,77.0,67.0,14.4,2.0
10700,12.0,6.0,3.0,1.0
10701,,,,
10702,7.0,5.0,6.0,1.0
10703,31.0,-21.0,0.19230769230769232,1.0
10704,73.0,47.0,4.615384615384615,4.0
10705,15.0,9.0,4.0,1.0
10706,15.0,9.0,4.0,1.0
10707,19.0,15.0,8.5,1.0
10708,26.0,10.0,2.25,2.0
10709,37.0,7.0,1.4666666666666666,3.0
10710,30.0,10.0,2.0,1.0
10711,47.0,29.0,4.222222222222222,0.0
10712,26.0,-14.0,0.3,1.0
10713,13.0,9.0,5.5,1.0
10714,,,,
10715,15.0,11.0,6.5,1.0
