UID,success_sum,mode_sum,os_sum,version_sum,device1_sum_x,device2_sum_x,device_code1_sum_x,device_code2_sum_x,device_code3_sum_x,mac1_sum_x,mac2_sum,ip1_sum_x,ip2_sum,wifi_sum,geo_code_sum_x,ip1_sub_sum_x,ip2_sub_sum,channel_sum,amt_src1_sum,merchant_sum,code1_sum,code2_sum,trans_type1_sum,acc_id1_sum,device_code1_sum_y,device_code2_sum_y,device_code3_sum_y,device1_sum_y,device2_sum_y,mac1_sum_y,ip1_sum_y,amt_src2_sum,acc_id2_sum,acc_id3_sum,geo_code_sum_y,trans_type2_sum,market_code_sum,market_type_sum,ip1_sub_sum_y
10010,5.0,8.0,8.0,5.0,5.0,3.0,5.0,5.0,,,5.0,5.0,,,5.0,5.0,,4.0,4.0,4.0,,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,3.0,3.0,4.0
10011,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,,,8.0,8.0,,4.0,7.0,8.0,,2.0,2.0,2.0,,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,,,2.0
10012,61.0,64.0,64.0,59.0,59.0,58.0,59.0,59.0,,6.0,53.0,59.0,2.0,,59.0,59.0,2.0,9.0,9.0,9.0,,,9.0,5.0,8.0,8.0,,8.0,8.0,8.0,8.0,7.0,1.0,1.0,8.0,5.0,2.0,2.0,8.0
10013,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,2.0
10014,30.0,30.0,30.0,30.0,30.0,26.0,,,30.0,,,30.0,,15.0,8.0,30.0,,12.0,12.0,12.0,,,12.0,4.0,3.0,3.0,9.0,12.0,12.0,3.0,12.0,8.0,4.0,4.0,6.0,12.0,4.0,4.0,12.0
10015,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,2.0
10016,27.0,27.0,27.0,27.0,27.0,22.0,27.0,27.0,,3.0,24.0,27.0,,17.0,,27.0,,15.0,15.0,15.0,,,15.0,10.0,13.0,13.0,,13.0,13.0,13.0,13.0,15.0,4.0,4.0,4.0,15.0,5.0,5.0,13.0
10017,39.0,39.0,39.0,36.0,36.0,30.0,36.0,36.0,,5.0,31.0,36.0,3.0,25.0,36.0,36.0,3.0,16.0,16.0,16.0,,,16.0,10.0,16.0,16.0,,16.0,16.0,16.0,16.0,15.0,1.0,1.0,16.0,16.0,4.0,4.0,16.0
10018,17.0,23.0,23.0,17.0,17.0,14.0,17.0,17.0,,1.0,16.0,17.0,,13.0,17.0,17.0,,2.0,2.0,2.0,,,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,2.0
10019,10.0,10.0,10.0,10.0,10.0,8.0,,,10.0,,,10.0,,,,10.0,,5.0,5.0,5.0,,,5.0,5.0,,,5.0,5.0,5.0,,5.0,5.0,1.0,1.0,,5.0,2.0,2.0,5.0
10020,18.0,18.0,18.0,18.0,18.0,16.0,18.0,18.0,,,18.0,18.0,,9.0,18.0,18.0,,12.0,12.0,12.0,,,12.0,2.0,11.0,11.0,1.0,12.0,12.0,11.0,12.0,7.0,2.0,2.0,10.0,12.0,5.0,5.0,12.0
10021,117.0,191.0,191.0,117.0,117.0,,117.0,117.0,,,117.0,117.0,,,,117.0,,76.0,76.0,76.0,32.0,,76.0,60.0,,,,,42.0,,42.0,60.0,,,,76.0,,,42.0
10022,14.0,20.0,20.0,14.0,14.0,12.0,14.0,14.0,,,14.0,14.0,,,14.0,14.0,,11.0,11.0,11.0,,,11.0,5.0,11.0,11.0,,11.0,11.0,11.0,11.0,9.0,,,11.0,11.0,5.0,5.0,11.0
10023,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,,3.0,4.0,7.0,,3.0,2.0,7.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
10024,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,,1.0,5.0,6.0,,5.0,6.0,6.0,,6.0,6.0,6.0,,,6.0,1.0,6.0,6.0,,6.0,6.0,6.0,6.0,1.0,1.0,1.0,6.0,6.0,,,6.0
10025,67.0,67.0,67.0,67.0,67.0,58.0,67.0,67.0,,14.0,53.0,67.0,,10.0,67.0,67.0,,61.0,61.0,61.0,,,61.0,44.0,60.0,60.0,,60.0,60.0,60.0,60.0,47.0,9.0,9.0,60.0,61.0,9.0,9.0,60.0
10026,16.0,16.0,16.0,16.0,16.0,14.0,16.0,16.0,,,16.0,16.0,,4.0,16.0,16.0,,7.0,7.0,7.0,,,7.0,4.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,,,7.0,7.0,,,7.0
10027,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,,,2.0
10028,25.0,25.0,25.0,16.0,17.0,14.0,17.0,17.0,,1.0,3.0,17.0,8.0,,17.0,17.0,8.0,8.0,8.0,8.0,,,8.0,4.0,8.0,8.0,,8.0,8.0,8.0,8.0,6.0,,,8.0,8.0,1.0,1.0,8.0
10029,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,,,10.0,10.0,,2.0,10.0,10.0,,9.0,9.0,9.0,,,9.0,3.0,9.0,7.0,,9.0,9.0,9.0,9.0,3.0,3.0,3.0,7.0,9.0,,,9.0
10030,10.0,11.0,11.0,10.0,10.0,10.0,,,10.0,,,10.0,,,10.0,10.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0
10031,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,,,5.0,5.0,,3.0,5.0,5.0,,2.0,2.0,2.0,,,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,,2.0
10032,20.0,20.0,20.0,17.0,17.0,16.0,,,17.0,,,15.0,3.0,9.0,1.0,15.0,3.0,6.0,6.0,6.0,,,6.0,3.0,,,6.0,6.0,6.0,,6.0,3.0,,,6.0,6.0,2.0,2.0,6.0
10033,27.0,27.0,27.0,23.0,23.0,21.0,23.0,23.0,,2.0,21.0,23.0,4.0,11.0,23.0,23.0,4.0,10.0,10.0,10.0,1.0,,10.0,5.0,9.0,9.0,,9.0,9.0,9.0,9.0,7.0,1.0,1.0,9.0,10.0,,,9.0
10034,19.0,19.0,19.0,19.0,19.0,12.0,19.0,,,,19.0,19.0,,12.0,17.0,19.0,,10.0,10.0,10.0,,,10.0,5.0,10.0,,,10.0,10.0,10.0,10.0,6.0,,,5.0,10.0,2.0,2.0,10.0
10035,112.0,112.0,112.0,112.0,112.0,109.0,112.0,112.0,,2.0,112.0,110.0,,98.0,112.0,110.0,,7.0,7.0,7.0,,,7.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,7.0,3.0,2.0,4.0,1.0,,,5.0
10036,184.0,184.0,184.0,141.0,141.0,124.0,141.0,141.0,,17.0,141.0,124.0,43.0,89.0,131.0,124.0,43.0,36.0,36.0,36.0,,,36.0,17.0,19.0,19.0,,,19.0,,19.0,36.0,19.0,,19.0,4.0,,,19.0
10037,15.0,15.0,15.0,15.0,15.0,13.0,15.0,15.0,,,15.0,15.0,,1.0,15.0,15.0,,11.0,11.0,11.0,,,11.0,10.0,11.0,11.0,,11.0,11.0,11.0,11.0,10.0,,,11.0,11.0,6.0,6.0,11.0
10038,5.0,7.0,7.0,5.0,5.0,4.0,5.0,5.0,,,5.0,5.0,,2.0,4.0,5.0,,3.0,3.0,3.0,,,3.0,2.0,3.0,3.0,,3.0,3.0,3.0,3.0,2.0,,,3.0,3.0,,,3.0
10039,17.0,17.0,17.0,17.0,17.0,12.0,,,17.0,,,17.0,,12.0,,17.0,,14.0,14.0,14.0,,,14.0,7.0,,,14.0,14.0,14.0,,14.0,8.0,,,,14.0,3.0,3.0,14.0
10040,57.0,58.0,58.0,40.0,40.0,35.0,40.0,40.0,,2.0,38.0,40.0,17.0,22.0,40.0,40.0,17.0,4.0,4.0,4.0,,,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,,,4.0,3.0,,,4.0
10041,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,,6.0,2.0,8.0,,1.0,8.0,8.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
10042,27.0,43.0,43.0,27.0,27.0,24.0,27.0,27.0,,,27.0,27.0,,,27.0,27.0,,9.0,9.0,9.0,,,9.0,6.0,9.0,9.0,,9.0,9.0,9.0,9.0,6.0,,,9.0,9.0,3.0,3.0,9.0
10043,16.0,16.0,16.0,16.0,16.0,13.0,16.0,16.0,,,16.0,16.0,,,16.0,16.0,,4.0,4.0,4.0,,,4.0,2.0,4.0,4.0,,4.0,4.0,4.0,4.0,2.0,,,4.0,4.0,1.0,1.0,4.0
10044,10.0,15.0,15.0,10.0,10.0,9.0,10.0,10.0,,,10.0,10.0,,,10.0,10.0,,10.0,10.0,10.0,,,10.0,,10.0,10.0,,10.0,10.0,10.0,10.0,5.0,,,10.0,10.0,5.0,5.0,10.0
10045,16.0,16.0,16.0,9.0,9.0,8.0,9.0,9.0,,1.0,8.0,9.0,7.0,7.0,9.0,9.0,7.0,6.0,6.0,6.0,,,6.0,3.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,,,6.0,,,,6.0
10046,13.0,13.0,13.0,11.0,11.0,7.0,,,11.0,,,11.0,,1.0,7.0,11.0,,8.0,8.0,8.0,,,8.0,5.0,,,8.0,8.0,8.0,,8.0,8.0,,,8.0,2.0,,,8.0
10047,35.0,35.0,35.0,35.0,35.0,31.0,35.0,35.0,,,35.0,35.0,,11.0,35.0,35.0,,16.0,16.0,16.0,,,16.0,12.0,16.0,16.0,,16.0,16.0,16.0,16.0,16.0,,,16.0,16.0,4.0,4.0,16.0
10048,17.0,21.0,21.0,6.0,6.0,6.0,,,6.0,,,6.0,11.0,,,6.0,11.0,14.0,14.0,14.0,,,14.0,4.0,,,10.0,10.0,10.0,,10.0,9.0,,,,14.0,5.0,5.0,10.0
10049,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,,4.0,5.0,9.0,,,5.0,9.0,,4.0,4.0,4.0,,,4.0,1.0,4.0,4.0,,4.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,,,4.0
10050,23.0,23.0,23.0,7.0,7.0,7.0,,,7.0,,,7.0,16.0,7.0,,7.0,16.0,3.0,3.0,3.0,,,3.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,1.0,1.0,2.0
10051,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,,4.0,4.0,4.0,,10.0,10.0,10.0,3.0,,10.0,9.0,4.0,4.0,3.0,7.0,7.0,4.0,7.0,10.0,2.0,2.0,7.0,8.0,2.0,2.0,7.0
10052,27.0,27.0,27.0,27.0,27.0,23.0,27.0,27.0,,8.0,19.0,27.0,,15.0,27.0,27.0,,7.0,7.0,7.0,,,7.0,6.0,7.0,7.0,,7.0,7.0,7.0,7.0,6.0,,,7.0,7.0,3.0,3.0,7.0
10053,53.0,69.0,69.0,52.0,52.0,40.0,52.0,52.0,2.0,2.0,50.0,52.0,,,52.0,52.0,,45.0,45.0,45.0,,4.0,45.0,9.0,39.0,39.0,1.0,40.0,40.0,39.0,40.0,9.0,3.0,3.0,40.0,45.0,,,40.0
10054,316.0,316.0,316.0,242.0,242.0,222.0,242.0,237.0,,44.0,201.0,239.0,74.0,5.0,240.0,239.0,74.0,36.0,36.0,36.0,,,36.0,18.0,31.0,29.0,,25.0,31.0,25.0,31.0,29.0,15.0,24.0,31.0,25.0,1.0,1.0,31.0
10055,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,,,2.0,2.0,,7.0,7.0,7.0,,,7.0,1.0,7.0,7.0,,7.0,7.0,7.0,7.0,3.0,1.0,1.0,7.0,7.0,,,7.0
10056,7.0,7.0,7.0,7.0,7.0,6.0,,,7.0,,,7.0,,1.0,6.0,7.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0
10057,13.0,13.0,13.0,13.0,13.0,10.0,,,13.0,,,13.0,,5.0,2.0,13.0,,7.0,7.0,7.0,,,7.0,7.0,,,7.0,7.0,7.0,,7.0,7.0,,,7.0,7.0,4.0,4.0,7.0
10058,25.0,27.0,27.0,23.0,23.0,18.0,,,23.0,,,23.0,,,,23.0,,11.0,11.0,11.0,1.0,,11.0,9.0,,,8.0,8.0,8.0,,8.0,9.0,,,,11.0,3.0,3.0,8.0
10059,27.0,27.0,27.0,25.0,25.0,23.0,25.0,25.0,,10.0,15.0,25.0,,11.0,20.0,25.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
10060,227.0,227.0,227.0,157.0,157.0,156.0,157.0,157.0,,2.0,155.0,157.0,67.0,138.0,152.0,157.0,67.0,13.0,13.0,13.0,4.0,,13.0,10.0,9.0,9.0,,9.0,9.0,9.0,9.0,12.0,,,9.0,13.0,2.0,2.0,9.0
10061,4.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,,4.0,,4.0,,2.0,2.0,2.0,,,2.0,,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,,,2.0,2.0,,,2.0
10062,13.0,13.0,13.0,12.0,12.0,11.0,4.0,,7.0,2.0,2.0,12.0,,1.0,11.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
10063,21.0,21.0,21.0,21.0,21.0,21.0,11.0,11.0,10.0,8.0,3.0,21.0,,6.0,21.0,21.0,,2.0,2.0,2.0,,,2.0,1.0,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,,,2.0
10064,7.0,8.0,8.0,7.0,7.0,6.0,,,7.0,,,7.0,,3.0,,7.0,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0
10065,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,2.0,,,2.0
10066,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,,,7.0,7.0,,6.0,7.0,7.0,,5.0,5.0,5.0,3.0,,5.0,4.0,2.0,2.0,,2.0,2.0,2.0,2.0,5.0,,,2.0,3.0,1.0,1.0,2.0
10067,11.0,11.0,11.0,8.0,8.0,4.0,8.0,8.0,,,8.0,8.0,,4.0,8.0,8.0,,12.0,12.0,12.0,,,12.0,2.0,8.0,8.0,2.0,10.0,10.0,8.0,10.0,2.0,2.0,2.0,8.0,12.0,,,10.0
10068,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,14.0,14.0,,2.0,14.0,14.0,,5.0,5.0,5.0,,,5.0,1.0,4.0,4.0,1.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0,5.0,,,5.0
10069,11.0,11.0,11.0,11.0,11.0,7.0,11.0,11.0,,,11.0,11.0,,3.0,11.0,11.0,,16.0,16.0,16.0,,,16.0,13.0,16.0,16.0,,16.0,16.0,16.0,16.0,16.0,,,16.0,10.0,6.0,6.0,16.0
10070,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,,5.0,5.0,5.0,,8.0,8.0,8.0,,,8.0,6.0,6.0,6.0,2.0,8.0,8.0,6.0,8.0,8.0,2.0,2.0,8.0,8.0,2.0,2.0,8.0
10071,115.0,115.0,115.0,70.0,70.0,65.0,70.0,70.0,,,70.0,70.0,41.0,44.0,64.0,70.0,41.0,28.0,28.0,28.0,,7.0,28.0,10.0,13.0,13.0,,13.0,13.0,13.0,13.0,10.0,,,13.0,20.0,6.0,6.0,13.0
10072,97.0,98.0,98.0,62.0,62.0,51.0,62.0,62.0,1.0,,62.0,62.0,35.0,48.0,57.0,62.0,35.0,25.0,25.0,25.0,,,25.0,16.0,25.0,25.0,,25.0,25.0,25.0,25.0,22.0,,,19.0,25.0,5.0,5.0,25.0
10073,9.0,9.0,9.0,7.0,7.0,6.0,,,7.0,,,7.0,2.0,,,7.0,2.0,5.0,5.0,5.0,,,5.0,2.0,,,5.0,5.0,5.0,,5.0,3.0,2.0,2.0,5.0,2.0,,,5.0
10074,46.0,46.0,46.0,46.0,46.0,39.0,46.0,46.0,,,46.0,46.0,,36.0,46.0,46.0,,13.0,13.0,13.0,,,13.0,4.0,11.0,11.0,2.0,13.0,13.0,11.0,13.0,8.0,4.0,4.0,13.0,13.0,,,13.0
10075,51.0,54.0,54.0,50.0,50.0,40.0,48.0,48.0,2.0,6.0,42.0,50.0,,28.0,48.0,50.0,,29.0,29.0,29.0,,1.0,29.0,10.0,23.0,23.0,5.0,28.0,28.0,23.0,28.0,11.0,5.0,5.0,28.0,29.0,,,28.0
10076,9.0,9.0,9.0,7.0,7.0,7.0,,,7.0,,,7.0,,,,7.0,,3.0,3.0,3.0,2.0,,3.0,3.0,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,3.0,1.0,1.0,1.0
10077,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0
10078,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,1.0,2.0,3.0,,2.0,3.0,3.0,,7.0,7.0,7.0,,,7.0,4.0,7.0,7.0,,7.0,7.0,7.0,7.0,5.0,1.0,1.0,7.0,7.0,1.0,1.0,7.0
10079,13.0,13.0,13.0,13.0,13.0,10.0,13.0,13.0,,,13.0,13.0,,10.0,13.0,13.0,,19.0,19.0,19.0,,,19.0,12.0,19.0,19.0,,19.0,19.0,19.0,19.0,12.0,,,14.0,19.0,6.0,6.0,19.0
10080,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,2.0,20.0,22.0,,,22.0,22.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0
10081,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,,,8.0,8.0,,6.0,8.0,8.0,,6.0,6.0,6.0,,,6.0,2.0,6.0,6.0,,6.0,6.0,6.0,6.0,4.0,2.0,2.0,6.0,6.0,,,6.0
10082,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
10083,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,,,2.0,2.0,,4.0,4.0,4.0,,,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,1.0,1.0,4.0
10084,,,,,,,,,,,,,,,,,,11.0,11.0,11.0,,,11.0,1.0,11.0,4.0,,11.0,11.0,11.0,11.0,7.0,1.0,1.0,11.0,11.0,,,11.0
10085,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,,,8.0,1.0,8.0,8.0,,8.0,8.0,8.0,8.0,3.0,1.0,1.0,8.0,8.0,,,8.0
10086,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,,1.0,4.0,4.0,,7.0,7.0,7.0,,,7.0,3.0,7.0,7.0,,7.0,7.0,7.0,7.0,5.0,3.0,3.0,7.0,7.0,,,7.0
10087,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,,,7.0,7.0,,6.0,7.0,7.0,,10.0,10.0,10.0,,,10.0,5.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,5.0,5.0,10.0
10088,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
10089,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,3.0,3.0,,3.0,3.0,3.0,,23.0,23.0,23.0,,,23.0,16.0,23.0,23.0,,23.0,23.0,23.0,23.0,16.0,16.0,16.0,23.0,23.0,,,23.0
10090,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,3.0,2.0,5.0,,2.0,5.0,5.0,,11.0,11.0,11.0,,,11.0,1.0,11.0,11.0,,11.0,11.0,11.0,11.0,6.0,,,11.0,11.0,,,11.0
10091,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,,,12.0,,,,12.0,12.0,12.0,,12.0,4.0,,,,12.0,,,12.0
10092,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,2.0,,,2.0,2.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
10093,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,,4.0,4.0,8.0,,,3.0,8.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
10094,17.0,17.0,17.0,17.0,17.0,16.0,17.0,17.0,,4.0,13.0,17.0,,11.0,11.0,17.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
10095,9.0,9.0,9.0,9.0,8.0,9.0,,,9.0,1.0,,9.0,,,7.0,9.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,1.0
10096,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,3.0,2.0,3.0,3.0,,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,,,3.0
10097,12.0,13.0,13.0,12.0,12.0,8.0,,,12.0,,,12.0,,,,12.0,,9.0,9.0,9.0,,,9.0,1.0,,,8.0,8.0,8.0,,8.0,5.0,,,,9.0,4.0,4.0,8.0
10098,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,2.0
10099,12.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,,2.0,10.0,12.0,,7.0,10.0,12.0,,7.0,7.0,7.0,,,7.0,4.0,7.0,7.0,,7.0,7.0,7.0,7.0,5.0,2.0,2.0,7.0,7.0,,,7.0
10100,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,3.0,,,3.0,3.0,,3.0,3.0,3.0,,,3.0,2.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,2.0,3.0,1.0,1.0,3.0
10101,12.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,,4.0,8.0,12.0,,,7.0,12.0,,26.0,26.0,26.0,,,26.0,1.0,26.0,26.0,,26.0,26.0,26.0,26.0,2.0,1.0,1.0,23.0,26.0,,,26.0
10102,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,,,3.0,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
10103,52.0,54.0,54.0,52.0,52.0,46.0,52.0,52.0,,13.0,39.0,52.0,,19.0,52.0,52.0,,4.0,4.0,4.0,,,4.0,2.0,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,,,4.0
10104,36.0,36.0,36.0,31.0,31.0,31.0,,,31.0,,,31.0,1.0,18.0,6.0,31.0,1.0,16.0,16.0,16.0,,13.0,16.0,1.0,,,3.0,3.0,3.0,,3.0,3.0,,,3.0,14.0,5.0,5.0,3.0
10105,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,,3.0,4.0,7.0,,3.0,7.0,7.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0
10106,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,,1.0,6.0,7.0,,,7.0,7.0,,2.0,2.0,2.0,,,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,,,2.0
10107,226.0,230.0,230.0,168.0,170.0,162.0,168.0,168.0,,1.0,167.0,172.0,56.0,95.0,168.0,172.0,56.0,57.0,57.0,57.0,41.0,,57.0,38.0,10.0,10.0,,9.0,10.0,9.0,13.0,54.0,1.0,,10.0,49.0,10.0,10.0,13.0
